,,Age,,,,Level of Education,,,,,,,Gender,,,How much understanding do you have of steganography?,,,,,Is The Study Too Long For You?,,,Is your vision normal (correctable to 20/20 with glasses or contact lenses)?,,,,
Category,Survey Received,Average Age,Min,Max,StDev,High School,Some College,College,Some Grad School,Grad School,Other School,Skipped,Female,Male,Skipped,Never heard of,Aware of What It Is For,Understand How It Functions,Expert In The Field,Skipped,Yes,No,Skipped,far-sighted,near-sighted,normal,other,Skipped
Clouds,159,31.7324840764331,19,69,9.09,6,27,69,6,49,0,2,58,101,0,65,39,44,10,1,53,104,2,15,13,126,3,2
Abstract,71,33.4647887323944,22,66,10.26,6,8,34,0,21,1,1,26,43,2,27,18,24,2,0,20,50,1,1,3,66,1,0
FullFramePlants,511,35.9137254901961,18,78,10.95,41,97,231,33,105,2,2,258,251,2,282,137,79,10,3,55,444,12,20,69,415,5,2
Bricks,80,32.9125,20,67,10.64,5,15,37,3,20,0,0,38,42,0,32,24,22,2,0,22,58,0,2,8,68,2,0
Pattern,98,35.1428571428571,19,72,11.35,6,21,43,5,23,0,0,32,66,0,58,17,22,1,0,17,81,0,3,7,85,3,0
TreeBark,80,34.5375,20,63,10.46,4,11,38,2,25,0,0,27,53,0,44,20,16,0,0,21,59,0,0,2,77,1,0
Bokeh,70,31.8857142857143,21,66,9.30,3,6,35,3,23,0,0,28,42,0,25,14,29,2,0,11,59,0,4,1,65,0,0
Bokeh2,70,32.3714285714286,18,61,8.39,5,16,34,2,13,0,0,26,44,0,35,15,17,3,0,21,49,0,2,6,60,2,0
Textile,128,39.1640625,23,69,11.41,13,18,60,6,31,0,0,53,75,0,69,38,20,1,0,16,112,0,2,11,114,1,0
OfficeSupply,325,33.9353846153846,18,75,10.82,27,63,153,8,72,2,0,120,205,0,164,88,58,15,0,71,254,0,15,19,286,5,0
Meta,85,34.8352941176471,20,69,10.38,5,5,50,1,24,0,0,22,63,0,22,35,26,2,0,13,72,0,2,1,81,1,0
