,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
filename,overall adjusted,overall England,overall,1570582583284,1570582610391,1570582724348,1570582759924,1570582762190,1570582770102,1570582880310,1570582946807,1570583413931,1570583874652,1570583974967,1570584370101,1570584474022,1570584650738,1570585161639,1570585209762,1570585600923,1570585859620,1570586152941,1570619184153,1570789765563,1570790618716,1570791440919,1570792647807,1570800717901,1570802644231,1570803860062,1570804810054,1570805354460,1570808747379,1570809358773,1570810148132,1570814624021,1571589527446,1571589541289,1571589586652,1571589631728,1571589635834,1571589691844,1571589722945,1571589792429,1571589845000,1571589895145,1571589931849,1571589934547,1571590032357,1571590048644,1571590137382,1571590164121,1571590196063,1571590279739,1571590462110,1571590523098,1571590531555,1571590820381,1571591015840,1571591450493,1571591587320,1571591603586,1571591710674,1571591726996,1571591755431,1571592022714,1571592092596,1571592116242,1571592203971,1571592274380,1571592399082,1571592464113,1571592518048,1571592579474,1571593284350,1571593512641,1571593699197,1571594550033,1571597971988,1571598063737,1571599834820,1571603275655,1571705602929,1571863194819,1571864291782,1571864412672,1571865529671,1571866875000,1571869230157,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5345677,0.9318,0.3649,1.001246264,0.5378900786,-0.2923444162,1.092101072,11.64109544,-0.617386808,0.5425130472,-0.5781487433,0.5410181765,0.2608279892,11.9890855,0.7967411802,-0.3188083763,-0.03544311848,-0.3077828722,0.3472817048,0.2599222985,5.557043007,-0.07013270685,-1.601775023,-6.188660527,5.86994749,2.66E-16,6.031093797,-5.86772206,-0.1411630878,12.88389801,6.499048756,5.550924906,6.18866052,44.44382773,11.95047818,5.63309604,0.273784188,6.034521748,11.30740616,5.465161062,5.724016958,17.29418045,6.047744526,5.483441893,6.120422367,3.15E-16,-0.6280355308,6.028951971,6.499048756,-0.481593503,6.041963854,11.31866885,0.5312890346,6.719589677,5.286864377,6.02821924,5.56098592,12.00899948,-0.4309941989,5.86701192,6.042188511,5.881986433,-11.32222529,7.242002816,11.9363859,11.29368264,6.031093798,-0.1109974103,0.5497717517,1.135211479,5.46575468,6.656259074,-0.0338927278,5.281687962,5.71816807,0.2728100539,6.030193917,-6.003734461,5.715746315,5.566371579,-0.1099474247,0.2385614295,6.113101637,5.777778117,-0.4279658778,5.704312464,6.18866052,5.871421103,6.499048756,6.014
3,0.5881002,1.1277,0.4607,-0.2869894377,0.004518783023,-0.5559515644,-0.7625839238,5.874837254,0.8746233276,0.5368365906,-0.5905156855,0.5217402155,-0.06706836666,-0.5673650309,1.922199107,-1.405200546,-5.617801303,-0.9900044567,0.3392544573,0.6614883698,11.06131474,1.800105787,-0.2799944778,6.069405423,11.6285198,6.05E-16,11.95047817,5.745243525,1.456424094,6.499048756,12.88389798,11.17303642,12.25806594,6.499048756,6.031093798,6.173234911,0.8239016346,18.01616355,5.70923192,5.982916613,11.93998912,5.86563386,12.12217217,5.757925445,6.017710114,2.69E-16,0.302818811,11.9363859,12.88389798,-1.073106723,12.19394944,5.713194506,0.2591599678,6.079845768,6.091315469,11.93470429,11.06528246,11.2479191,-1.705143228,11.6200683,6.077637477,5.284744836,-16.93845125,6.497317687,23.61360982,5.703212869,11.95047817,2.361524352,0.8715045288,7.512817563,6.359139666,6.017710115,-0.02637788197,5.797516704,11.33035531,1.121568685,11.93960985,-7.281465812,11.32420713,11.61119016,-0.08085221833,0.236569293,5.294696136,5.296881863,-3.000886709,11.29572174,12.25806594,11.63199472,12.88389798,5.382
4,1.1022137,2.0183,0.7494,-0.3196088709,-0.5923139359,-0.3054162883,0.1061787031,17.41590342,0.5710687803,0.2613566629,-0.8737754388,0.2557553786,-1.29675374,6.309176892,1.058068645,-8.96E-07,0.6257809594,0.0004132707079,0.9604168669,1.245181822,11.53431824,3.108195445,-0.5618673387,12.08186536,17.5227886,6.257242052,18.04415596,11.43599529,0.4371778758,31.81125163,25.5164741,11.14160181,36.24114083,25.5164741,24.10991016,7.212552521,0.008363867102,18.65590746,16.98698568,6.712909854,12.00603784,11.6078221,12.16250788,6.038913781,6.656259074,17.28910219,0.2650975155,17.78697393,19.21356337,-1.659871475,12.19394944,18.19008957,0.5264735969,12.58313108,6.107592663,29.67401626,11.59240054,11.62866052,-2.233880195,17.55478416,7.312004138,6.149240369,-18.334833,13.32103071,6.028951971,16.94007326,18.04415596,1.18644252,0.8720291977,6.792402234,7.112796324,7.192095781,-0.2634822227,6.215184985,17.37077498,0.221948418,17.79359706,-13.26766931,16.94021756,12.77959688,0.6012811131,-0.296623147,6.416346731,6.977542753,-2.408180178,16.98611834,24.25683976,17.46253129,19.21356337,6.318
5,1.246129,2.4578,0.9501,0.6416705022,0.2733220468,-0.04391793349,-0.3663080362,18.00801431,-0.3009066521,0.5409879072,-0.2795076219,0.809190826,-0.003413989498,7.43E-16,1.661396336,-0.00542513858,-11.16410087,0.30085857,0.9445464029,1.564349978,11.94390196,2.994987055,-0.5531930097,30.05248032,18.16253251,18.24154313,18.04415596,17.1158915,2.874697121,44.44382774,31.81125159,11.76925892,18.27052587,38.11416233,18.04415596,13.06625202,1.14922298,18.69624317,18.04720815,13.079805,11.39315249,22.96747468,24.69765719,6.976160056,7.294808033,5.940648382,-1.421241129,23.61360982,25.51647409,-7.409473324,12.19394944,17.81234207,0.796392227,6.759925387,6.463111981,29.67401626,12.01362462,17.80078405,-1.331202753,17.55478416,7.347453103,6.869335887,-18.33493262,7.860333654,17.78697393,17.10667209,18.04415596,2.393480551,0.8679942973,7.472481853,5.987872061,7.294808033,5.96E-10,6.574833666,17.79143658,0.8391621186,23.63298176,-6.415635473,17.84433503,12.38563848,-0.9023739407,0.826826249,6.416757678,6.555980805,-1.946604827,18.1257441,18.27052587,17.56524354,25.51647409,6.322
6,1.3338173,2.3613,0.8963,-0.3199326536,-0.0003892484687,-1.103554137,-1.199929579,17.98560329,0.5201126049,-0.01862661849,-1.160770924,0.2559640125,-0.5609463494,17.67983695,1.672818232,1.112980755,2.172387389,1.491631576,0.9767035933,0.9599350035,11.63084648,2.058259679,-0.5564643251,18.06817924,17.48245289,30.24031695,24.10991016,23.44956308,1.406806195,19.2135634,19.21356337,12.7033886,42.49838289,19.21356337,18.04415596,7.297021787,-0.002687970747,11.95992887,18.05401201,7.619289421,13.06495942,28.76393654,12.8425875,6.522530992,7.192095781,11.61824481,-0.6026496298,35.47924495,38.11416232,-1.69126456,24.08373573,17.3707049,0.8184344453,6.039510057,6.493463817,35.82600185,12.39577787,11.99400838,-1.058041743,23.70934656,6.694820807,6.515766924,-18.29413379,6.924828243,35.43890924,17.53578023,29.97026321,0.8655851572,-0.01652317093,0.521270523,6.711548652,6.120422367,-0.5552602809,7.894603076,16.95696673,-0.4062464052,30.29393836,-7.802412119,17.41602544,11.07521305,0.2614023887,-0.02185518917,6.714816501,7.973271029,-3.587834147,17.69982288,30.23840978,18.10108025,50.82867695,6.023
7,1.5621778,2.6924,1.1214,1.001175325,0.2702728007,-0.5579112905,-1.696390883,17.96319227,0.5376016388,0.8234828654,-1.490080061,0.04740813077,0.2655700237,-8.72E-11,1.058230103,-0.004746462027,2.681304753,0.5506058877,6.696184093,1.534180408,11.99093155,1.727407839,-0.01310154729,24.04974926,24.31126484,12.25997311,41.90778438,23.42715206,2.367615104,25.51647412,57.32772564,13.63763816,42.49838289,12.88389798,18.04415596,6.173376851,0.5438252298,17.97582784,18.98876773,6.301247462,11.92056156,28.8666488,12.80225179,7.673490298,18.79841871,23.80017027,-0.3097386311,29.44667793,50.82867698,0.499838329,18.25153919,17.35824568,-0.01097065376,18.27379422,7.159351729,17.78422998,11.60823051,5.573495908,-0.07376670397,23.70934656,13.17515633,6.858417987,-17.48354786,6.507493033,29.44667793,18.52195699,24.10991016,1.338592193,0.5704189973,6.832737944,12.73861966,13.09758709,0.2680905486,6.186738644,18.13241641,0.2516166468,36.532988,-5.46486116,18.27688473,12.66674347,1.333455892,-0.2871832533,6.41250667,6.252898703,0.1606543824,18.65829809,42.49838288,30.51579655,31.81125159,6.328
8,1.7849088,3.0462,1.3387,1.806624006,0.2757717059,-0.2850488753,-1.11141995,18.55530315,-0.3439286395,0.8128570378,-0.86795239,1.502941338,-0.2782730128,29.29280215,1.672823751,0.334802783,1.116518247,0.9878930683,0.3433293113,1.258658978,13.49777197,1.696654678,-0.283794975,36.30972237,24.31126484,36.30972237,35.87875125,23.99685193,1.30569907,50.82867697,44.44382771,13.15548969,30.23840978,50.82867695,35.87875125,6.218268597,0.554853997,30.63754926,17.0680824,7.058657419,18.79811978,29.4024855,30.61009187,7.891585608,24.54465118,23.12009065,0.624800049,36.15932457,57.32772573,6.875138526,35.83974647,18.27335863,-0.0363338081,24.21774843,7.578806129,23.61642651,12.87472068,11.61326695,-0.7172075695,23.70934656,24.62139776,7.717132098,-5.715041582,5.684384926,36.15932457,18.68855582,41.90778439,1.597872361,0.8209850149,-0.6371033424,6.711807201,30.4124633,0.0001279948843,6.976954874,17.80099277,0.8706231217,29.65419445,-6.822937756,18.74821622,11.62644079,0.6012811131,0.2525945155,6.73071145,5.7406288,-3.619259223,19.24785893,36.24114084,24.62989973,38.11416231,5.744
9,1.794734,3.3043,1.2734,0.6375128488,0.5485542908,-0.2787280991,1.022188827,24.39016612,-0.3389745836,-0.354217658,-1.097106403,0.2641875625,-0.2811740112,23.42508018,1.354732588,-0.9938275904,1.639612066,-0.3146502199,0.6519891669,1.548425233,13.5323765,0.921407076,0.01253368551,36.30972237,24.31126484,42.49838289,18.04415596,23.40474104,3.382933225,57.32772572,50.82867693,12.71321617,24.25683976,57.32772571,41.90778439,13.06625202,0.5485500693,36.672071,18.51983516,6.355905384,24.51966244,29.93832221,36.64173648,7.908231021,30.4124633,23.84050598,-0.3154777381,36.11898886,31.81125159,1.123761719,41.86796571,16.95368338,0.7878468771,24.21774843,6.436944154,41.86796571,12.88998708,11.62096374,-1.431759786,29.82885879,30.48917918,7.18405557,-18.2956458,5.499472645,35.47924495,24.52684616,35.87875126,1.623651749,-0.3007462382,-0.6738621443,6.730364819,24.54465118,0.002604315395,7.963296974,18.20252667,-0.4123695213,29.61385874,-7.296797066,17.80180858,12.3935888,0.6012811131,0.2487729574,7.029097233,7.792473668,-1.389646894,19.08769547,42.49838288,18.63691696,57.32772571,5.71
