,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
filename,overall adjusted,overall,1572068099919,1572068321924,1572068322521,1572068629418,1572068917867,1572069551406,1572069872937,1572070224696,1572071058980,1572071210852,1572071719474,1572073341191,1572075593074,1572076338425,1572078981720,1572081415455,1572082021166,1572085140611,1572086027346,1572087328438,1572088158425,1572088693100,1572088841974,1572090213725,1572092357211,1572092439864,1572109812529,1572112448930,1572113669574,1572115173760,1572239148769,1572266075005,1572267512176,1572271110743,1572286433722,1572291464228,1572303775278,1572406649322,1572428109381,1572435244895,1572443975748,1572453896167,1572469282333,1572487635729,1572539845562,1572703026554,1572728918547,1572757754075,1572798972931,1572802563357,1572803443540,1572842725566,1572873809397,1572912433869,1573015528264,1573035000024,1573071394997,1573078478272,1573302461960,1573324680817,1573408723151,1573437786913,1573532768135,1573580081020,1573928209731,1573944301677,1573998524554,1574001329197,1574190126782,1574392727042,1574458343045,1576111722072,1576111725019,1576111782220,1576111842385,1576111913832,1576111970907,1576112049083,1576112057865,1576112083959,1576112100071,1576112108555,1576112149181,1576112156665,1576112178568,1576112225493,1576112383343,1576112451167,1576112452738,1576112554281,1576112555400,1576112579151,1576112579389,1576112657982,1576112762691,1576112907600,1576112938972,1576112996241,1576113007464,1576113231767,1576113274779,1576113355078,1576113457942,1576113482278,1576113575579,1576113627506,1576113772871,1576113783518,1576113835895,1576113849492,1576113850751,1576113851881,1576113912447,1576113927201,1576114179762,1576114272619,1576114281990,1576114345628,1576114464458,1576114474216,1576115148136,1576115997986,1576116127956,1576118318110
MTurkID,,,A16HSMUJ7C7QA7,A1NF6PELRKACS9,A2OZ5SOGNN9QOA,A1S88VQY8G8CNC,A2WNW8A4MOR7T7,A1RWNYJA5X25YH,A3QDDIWTGHQSLI,A1DVKS3R9SLQ1H,A3KPQ7L5FS8SD6,A1DVKS3R9SLQ1H,A3J9EHZQ9PERAX,A28FONGJUKJEVK,A1YSYI926BBOHW,A1GV0UZU0T2ORS,A2WTDVHVVORNDU,A3DZGDF9HCTAOB,A2SSYBUT9ZM0G9,A2LV5432PV1S39,A175PJR0W3LO8I,A219VCQZADQ45W,A3AA5G6HENO6VJ,AVWU9JDY5G81E,A1IHI23KH87K5W,A3U21PUMQ6NGT2,A2ESBX4C2Q6TQY,A3KNO82DZ519HG,A3SKEW89V5S0DI,A8BGHKGBA8O33,AKX5RHHO8BIUX,A2Z2MH6EOHSLMP,A2QGQOWEM9G55,A3G5IPGLH1IIZN,A3NAHN61XJ3ZAT,A1AXD2Q0MREL8W,A13BDQ7J8MNP40,A3OWHW7XYQU52K,A22KRF782ELLB0,A1XUZFDVKP95VC,A32EY0IHHNAW9N,A1DRFDGG2KCOI2,ACSS93E03ZUGX,A2EEL9YYUHL5SK,A1B5SSGMTAQ9B5,ACCXC5V05C9R9,A1ZAJE7VCC824V,A9EVF0SO2IUJ0,A2KPTJMOIYHG69,A1MIR0TP081SKT,A28G4QO0DRY8OZ,A2LKQQ3GNDQ017,A1MTRZDRKNB9GV,A16FY9L7QTDNRW,A1FKDB1SJ3YL7A,A37M4OVE9R80G,A2BO8M77CS3SGZ,A3LMI7ZDFO8JHR,A2HGRSPR50ENHL,A1BQBQG2GNY8AY,A4406CH0I44GU,AHPOH7GFQK14J,AR95C0P53AFWJ,AAC5XT7UY7B2K,A289DF24X3Q8JZ,A3O81LHBBI8NPK,A299J4PKHAEU9H,A2UX7ZJEGGU5,A26RPQDD0RQEHL,A1QUBZWTBWNKJN,ADYNBOYRPQDEE,A30YUELTPFSF0T,A1Q2C5GJTB09WW,A3P04JZJNOYILR,A3G1X3IP2VM4IK,AKCUBNWHZ22E1,A1V9G7V6ZYACIR,AWAW665TQQP2F,A1RQLE4ZMTU22A,AH4S22PWE826G,COPIEDAMG5FA0P014M0,ARFQ8FJRKCUZ6,APO6KZZ79PO9Q,A3E03IX4OEV14V,A3TUCOUVSP9ZGY,ATP43ZVI1RP0C,A18G2CLYSTENK,A1IR488PZYN94W,A3AHAY1VIJDCGX,A320QA9HJFUOZO,A1AQQFJAF8CI4H,A1IMRSDQ7RO9US,AIHCZOO4BTPTJ,A15CCQOQIM1OY8,A3PRQ2GSU42718,AV5FCKI1TTSKR,AO0B865E9M3KI,A3PT32853VOR8D,ATBBPV37O4K6N,A1XNCA1SVTT15B,AU6E25191M6SL,A1DI0MT3RDQTW8,A2NXMRPHG86N2T,A2U0JT7TSIIXPS,AQ95Z9O4NLMG0,A229SW84D1QRK5,A2HUTXBZ4YCVYT,AJRY9ALX8069Y,A3UF6XXFFRR237,A1CINWYLYY8SGL,A2MT0EBEHD9XGZ,AUI6NMF6FJLUL,A30VOAZX8XTNGW,A1RL5606AOCJYR,A2EPBSY0VPI38S,A3OB6REG5CGHK1,AUFIJSWMX9MZI,A1RATFICCKLCQ,A190FCR1LZC1FR,A3RD4M6HFHIO7Z,ARGR4AJESGHHP,A21SP7E5DFFX37,A27VFM67RPD2L5,A21P70QPUC8RDI,AVD6HMIO1HLFI,AJJ5WPCE800YX
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.5639537,-1.1334434,-12.66172142,-19.01742535,-12.63257613,-12.66172142,-6.257242042,-25.31220285,-11.76340314,0.2794114634,-11.94130609,-0.03843294266,-6.329665395,5.850588032,-12.71451462,-11.68555047,-12.02172346,-12.71451462,-13.64741487,-17.79359706,-17.8345953,-18.92735362,-18.92735362,-12.71451462,-12.34384158,-11.83256736,-11.87068737,-12.71451462,-18.92735362,-12.71451462,-19.01742535,-19.01742535,-23.64579702,-19.01742535,-12.63257613,0.8418637458,-37.94477895,-19.01742535,-37.94477896,-37.94477897,-11.92610725,-24.64437545,-25.31220284,-6.329665395,-1.102481537,-37.94477896,-12.59768822,-44.32962822,-19.01742535,-17.80784008,-30.24031693,-37.94477895,-18.52694107,-44.32962822,-17.80784008,-17.28512639,-17.75151996,-2.655831618,-1.666673598,-17.71458459,-12.71451462,0.590407852,-23.64579702,-12.71451462,-1.039100159,-25.31220284,0.02419762689,-11.92610725,-30.09003689,-18.90059895,-11.85506969,-12.38856852,-31.61511356,-12.71451462,-31.61511356,-25.31220284,-5.912772032,-17.60278784,-31.61511357,-23.64579702,-6.700816493,-12.59768822,0.639743909,-0.559675389,-37.94477896,-5.700153761,-31.61511356,-17.76750437,-11.8304461,-17.8345953,-25.31220284,-30.29187509,-1.215279286,-31.61511356,-1.046016208,-11.78733321,0.9002895602,-6.695978585,-19.01742534,-17.8345953,-17.8345953,6.347141099,-1.938726747,-11.68555047,-6.185500738,-19.01742534,-7.455910913,-31.61511356,-29.67401626,-23.92827308,-23.64579702,30.29187511,-6.227557076,0.7204153298,-6.794842974,-23.00101494,-31.61511356,-6.151985591,0.7256013341,-11.27762941,-0.5363682671,-37.94477895,-31.61511356,0.4533679133,-37.94477897,-18.67762039
3,-0.3795079,-0.2912404,-0.04033571039,-6.302910731,-6.302910731,-0.7204153298,6.002731059,-6.294777506,11.86059739,0.002900734411,0.6800796194,0.2754214372,6.302910718,-17.69227102,12.59768822,-1.30E-16,-5.706879559,12.59768822,-8.056421021,5.839384704,-6.065754202,-12.59768822,-6.294777505,18.90059895,-4.68E-16,-0.4291081424,-0.6139409565,6.302910718,-6.294777505,6.302910718,-6.302910731,-6.302910731,-6.057589747,-6.302910731,-6.302910731,0.8418633203,-25.23026433,-6.302910731,-12.63257611,-18.92735362,-4.33E-16,-11.87887959,-12.59768822,12.59768822,-1.043279744,-18.92735361,-6.302910722,-31.6151136,18.92735362,-6.028575355,-18.24154312,-25.23026433,-7.079876975,-12.71451466,-6.028575355,-5.833983875,-6.294516028,-1.69851486,-2.328638595,-6.021212685,6.302910718,1.130821719,-6.057589747,6.302910718,-0.7003143671,-12.59768822,1.167030358,-6.065754202,-18.33201493,-6.302910723,-5.988239643,-1.123786877,-18.90059894,12.59768822,-12.59768822,-12.59768822,6.564517515,-5.839384705,-12.59768822,-6.057589747,-0.348834294,6.302910718,0.6800796193,-0.539058488,-12.63257611,5.827703229,-18.90059894,-5.988239643,-5.911220444,-1.99E-16,-6.294777498,-12.21918633,-1.538663221,-12.59768822,1.341826483,5.784073894,1.589134793,0.04033571039,6.294777495,-1.99E-16,1.28E-16,0.5007463931,3.25E-17,1.49E-16,5.54E-17,6.294777495,-0.5957069691,-12.59768822,2.11E-16,-12.15943198,-6.057589747,18.07268876,-6.227557076,0.04033571039,-0.7204153298,-17.2588267,-18.90059894,-2.53E-16,0.3214355326,0.03675880159,-0.2582843632,-6.329665395,-18.90059894,-0.09626475178,-18.92735362,-11.9413061
4,-1.123576,-0.8519112,-6.736314295,-12.63257613,-19.01742538,-6.736314297,-6.257242042,-18.92735362,-5.853987202,0.5401403789,-6.015898965,-0.05535940506,-12.71451465,-5.826635892,-6.329665395,-5.932986307,-12.02172346,-6.329665395,-2.361636839,-5.853987202,-11.92610725,-25.31220287,-12.59768823,-6.329665395,-6.74962368,-6.242097596,-6.281185239,-6.329665395,-12.59768823,-6.329665395,-12.63257613,-12.63257613,-11.88978628,-12.63257613,-19.01742538,1.776309127,-18.92735361,-12.63257613,-31.55992973,-25.23026435,-6.065754204,-18.88380184,-18.92735362,-12.71451465,-0.7149991745,-25.23026434,-25.23026434,-37.944779,-6.302910731,-11.8954054,-24.227857,-31.55992973,-12.7807086,-25.31220287,-11.8954054,-11.5370496,-12.00138619,-1.69851486,-0.03551163098,-23.62400053,-6.329665395,0.09314453127,-17.73931198,-6.329665394,-1.000221078,-18.92735362,1.147791323,-17.8345953,-12.50537904,-31.61511357,-17.76750437,-1.03931761,-25.23026433,-19.21356333,-25.23026434,-18.92735362,0.7204153296,-11.69337191,-25.23026434,-17.73931198,-1.191236487,-6.294777502,-6.079845764,-0.2828984501,-31.55992973,-11.44624143,-25.23026433,-11.85506969,-11.8304461,-11.92610725,-18.92735362,-24.22162278,-0.9245148882,-25.23026434,-0.02287569936,-5.76004508,-0.06514863002,-12.62138571,-12.63257612,-11.92610725,-11.92610725,-1.02E-15,-0.9437890448,-5.932986307,-6.185500738,-12.63257612,-1.581883731,-25.23026433,-17.73931198,-18.01978503,-17.73931198,12.08406158,-6.227557076,0.6800796194,-0.6800796194,-11.57246834,-25.23026433,-2.16E-16,-1.587236151,-5.688573487,-0.7686003041,-31.55992973,-25.23026433,-0.9670643897,-25.23026435,-12.62138571
5,0.3761693,0.2664273,6.015898965,12.59768823,6.294777495,6.015898966,23.98307489,6.302910718,5.839384704,-0.2496591823,6.736314295,0.2011957195,12.59768821,-17.65193531,25.23026434,11.87226789,-12.58908849,18.90059894,-2.330128566,12.5003413,-5.48E-16,12.63257611,6.302910718,12.59768822,-1.098742372,1.152775588,1.195132667,12.59768821,6.302910718,12.59768821,12.59768823,6.294777495,3.84E-16,12.59768823,18.92735362,0.839140329,-12.63257611,12.59768823,-6.329665395,-6.329665394,6.093677782,-12.95055301,12.63257611,18.90059894,0.3864184193,-12.63257611,19.21356332,-6.384849261,12.59768823,0.6800796194,1.67E-16,-6.329665394,-1.277097918,-19.01742538,-0.04033571038,0.03228567857,0.02241101907,-0.8785171525,-1.164319298,0.639743909,25.23026434,2.027596031,-1.76E-16,12.59768821,-0.4023827632,12.63257611,0.8287405546,12.01306216,-0.639743909,6.329665395,0.7204153298,-0.0001419407095,6.329665395,18.90059894,6.329665395,12.63257611,0.6800796193,5.980876975,6.329665395,6.151985589,0.5464520231,25.51647405,18.13790266,-1.153441226,-6.329665395,6.480335525,6.329665395,0.04033571038,8.09E-16,6.093677782,6.302910718,-6.22755706,-0.6342618007,-6.302910722,0.4596648378,-5.76004508,1.948291195,-0.639743909,12.59768821,6.093677782,1.12E-16,-6.287260088,5.675914456,5.9227997,7.37E-17,31.81125153,-0.1665988265,12.71451465,12.19394944,-6.093677781,-1.76E-16,30.29187511,24.06431803,-6.015898963,5.988239645,0.535836707,6.329665395,17.73931198,-0.3694785467,1.195132667,0.02623323239,6.384849224,6.329665395,-1.398033555,-6.329665394,-11.98164181
6,-2.4264164,-1.5436567,-18.69624317,-25.51647405,-25.51647409,-18.69624317,-6.257242042,-31.81125155,-17.79359706,0.8870922226,-17.97582784,-1.099003231,-19.21356336,11.75802196,-19.21356332,-17.55200028,-18.55342313,-19.21356333,-19.35163204,-11.76340314,-23.86362843,-31.81125157,-31.81125163,-19.21356333,-18.04980783,-17.53578023,-17.57365844,-19.21356332,-31.81125163,-19.21356333,-25.51647406,-25.51647406,-29.67401626,-25.51647405,-25.51647409,-11.072421,-44.44382765,-25.51647406,-44.44382767,-44.44382767,-23.86362843,-30.51579655,-31.81125156,-19.21356336,-1.067347234,-44.44382767,-18.90059894,-50.82867693,-25.51647405,-23.8394847,-42.49838288,-44.44382766,-24.39475319,-50.82867692,-23.8394847,-23.15428138,-23.6220285,-2.275377294,-8.211726224,-29.65419445,-19.21356332,-5.348700771,-29.67401626,-19.21356332,-1.357517975,-31.81125156,-0.02871154685,-23.86362843,-36.11898886,-38.11416227,-23.79914898,-18.09428509,-38.11416227,-6.329665395,-38.11416226,-31.81125155,-11.79653168,-23.63298177,-38.11416227,-29.67401626,-12.26316253,-31.81125159,-0.04033571039,-0.5589997245,-44.44382767,-17.31402284,-38.11416227,-23.79914898,-17.9489502,-23.86362843,-31.81125154,-36.4811771,-0.9109574029,-38.11416227,-6.578547665,5.784073894,1.303688809,-18.65590746,-25.51647405,-23.86362843,-23.86362843,12.2391591,-2.522428743,-17.55200028,-6.185500738,-25.51647405,-13.17501926,-38.11416226,-23.64579702,-29.95730621,-29.67401626,36.72238776,-12.65806973,18.69624317,-12.8425875,-28.86664879,-38.11416227,-12.19394944,-0.4036451367,-16.9805217,-0.8236388809,-44.44382766,-38.11416227,0.9721926226,-44.44382767,-24.60302752
7,-0.2255836,-0.1532532,-0.7204153298,18.92735362,18.92735361,-0.6800796194,11.98430108,-12.59768823,11.82026168,0.01027376899,0.04033571039,1.447173332,18.90059893,17.78697393,6.302910718,5.922799699,-11.45435843,6.302910718,-1.742899775,11.86059739,-2.60E-16,-6.294777505,-25.31220288,25.23026434,0.4049252564,-0.5957069689,7.074747861,25.23026433,-25.31220288,18.90059893,6.294777495,12.59768821,-17.73931197,18.92735362,12.59768823,0.4147941747,-31.55992972,31.81125156,-25.23026434,-31.55992975,-17.8345953,-13.05326526,-6.294777506,38.11416228,0.01145976227,-31.55992973,-31.61511359,-12.71451466,-12.63257613,-0.04033571038,-12.2599731,-18.92735361,-0.1027122523,-37.94477899,0.6800796194,0.6264067857,-0.5472888476,-1.69851486,-2.293126964,-11.86059739,18.90059894,2.461181798,-11.88978628,31.61511359,-0.06082988012,-6.294777506,0.2578855186,-4.35E-16,-24.18260296,-25.23026434,0.6800796194,-6.795341174,-12.59768822,6.302910718,-6.302910724,6.302910718,0.04033571034,6.021212685,-18.90059895,-11.88978628,-0.7733177558,12.63257611,12.19394845,-0.02221873574,-25.23026434,7.097518855,-12.59768822,0.6800796194,-11.8304461,-6.065754204,19.01742537,-18.20781351,-0.9254498874,-18.90059894,-0.9711951689,5.784073894,1.942346289,18.01616355,-6.302910723,-6.065754204,-6.065754205,-7.84E-16,-2.55327206,-2.86E-16,5.906829557,-6.302910723,-1.748482557,-18.90059894,-11.88978628,-6.093677781,-11.88978628,30.29187511,5.991629271,6.736314297,-0.04033571038,-5.899174116,-12.59768822,6.057589746,0.6323708322,1.714011048,-1.112674292,-25.23026433,-12.59768822,0.4403291288,-31.55992975,-30.63754926
8,0.256259,0.2164178,17.97582784,6.294777495,12.59768821,-0.04033571039,17.97061496,19.01742537,12.5003413,0.267190272,0.7204153298,0.9343015723,31.61511358,-11.659704,18.90059894,-1.99E-16,-12.02172346,25.23026434,-0.6187370646,11.82026168,6.093677784,6.302910718,12.63257611,6.302910718,-0.9493156612,0.557068619,0.5212705229,18.90059893,12.63257611,25.23026433,18.92735362,18.92735361,5.03E-16,6.294777495,6.294777495,7.406053447,-6.329665395,6.294777495,-18.92735362,-12.63257612,-6.18E-16,-5.885896821,6.302910718,6.302910718,-0.348271891,-6.329665395,6.329665395,6.499048756,6.294777495,0.639743909,2.58E-16,-12.63257612,-0.6385489592,-31.6151136,0.639743909,1.807209417,0.04482203821,-0.4565649419,-0.6619649966,-0.04033571038,12.59768821,2.984589405,1.62E-16,18.90059893,-0.3591999405,6.302910718,0.263227044,-3.65E-16,-6.672310926,-12.59768823,0.04033571038,0.540138871,-6.302910723,25.23026434,-18.90059894,-6.294777502,12.52071597,6.660956594,-6.302910723,-3.94E-16,-0.3487803021,19.01742534,6.503285308,-0.5601634838,-18.92735362,5.863152194,-6.302910723,0.7204153298,5.60E-16,-6.01E-16,-12.59768822,-5.24E-16,-0.8997138202,6.329665395,0.8303954659,-5.76004508,1.620533477,-0.6800796194,18.92735361,-6.01E-16,6.093677784,-0.500746393,-1.28089716,11.87226789,11.59953628,12.59768821,-1.152775588,-6.302910723,-6.057589748,-6.093677781,1.62E-16,24.06431803,11.98025644,12.66172142,11.85506969,-0.102712252,-6.302910723,11.88978628,0.6989942034,0.6738621439,-0.2521879797,12.88389798,-6.302910723,6.431627105,-12.63257612,-12.66172143
