,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
filename,overall adjusted,overall,1572388142005,1572388173421,1572388240907,1572388241492,1572388255850,1572388273165,1572388306596,1572388360259,1572388420488,1572388443941,1572388452298,1572388461899,1572388470548,1572388498079,1572388514532,1572388622425,1572388623659,1572388662453,1572388722721,1572388755502,1572388786503,1572388804839,1572388862971,1572388881490,1572388953066,1572388979109,1572389013759,1572389022650,1572389051533,1572389074666,1572389143064,1572389148605,1572389234541,1572389255123,1572389294274,1572389308153,1572389310120,1572389432721,1572389460116,1572389478779,1572389538118,1572389557431,1572389616526,1572389749604,1572389988933,1572390042528,1572390074426,1572390075758,1572390095938,1572390161051,1572390180929,1572390228662,1572390239740,1572390240508,1572390254906,1572390267916,1572390297373,1572390384952,1572390458967,1572390487304,1572390530269,1572390561877,1572390563102,1572390611154,1572390715800,1572390778991,1572390785089,1572391095751,1572391116513,1572391146939,1572391282953,1572391312775,1572391330666,1572391529148,1572391589592,1572391608674,1572391668446,1572392230472,1572392344593,1572392575187,1572393398934,1572394325793
MTurkID,,,ASCTCB5BHNS43,A10RINTD0CLW1Y,A18SXC3JEN1O0U,A6VR1WVKIRSR3,A14EEWC3KEF63G,A3VP27UUQ34OXK,A2HWF3DPE0MDCN,A1W47WXDPB7K13,A1BF1W2XN5BWFQ,A2C84QVRK3KG57,A1Z0VVDFYH9PBW,A26ST4UX73VPLW,A2XPWASDT8AYXH,A1HM9FS1R9YM7Y,AMD5AS2ZWVTTK,A5WAWW70PYRP,A2P7LKVCMHI1C5,A2Z6PZ1CYD8NQP,AJ7736S2PQ65E,A8XPHQCN0ORSH,A7QRHHOSXY49A,A2J6Q0K995TRVM,A2X8NF55NQSCFE,A24LB89P1BPKKF,ANZ6CN0389LA5,AK1Y09TWU3IQ6,A3MJCHFORYK0US,A33ZLN05SVEI66,A142YEQ6O81P55,A2NHWPJ304YVH0,A2IMAGGCST8170,A22HDIXTWGVUOW,A8WMN9UUL7WUT,A7O82NXM2PI12,A1ZG38B8TJF5ZH,A2HITRHQ441VHA,A1CYQ6677HL86Y,A2T2H9I6P3DPD2,AZBS0MVCBSCGY,4NTE58,A3R8KKND7IBAZN,AUTT0B3SXQQ5N,A2CPJ227RHJRRZ,A369HDC6T90Q1H,A22BBAU24IEHPL,A3B01JZN07Z6TT,AYKQ1UN34V8KL,ATP43ZVI1RP0C,A2A5HAPJD18TRU,A1B14CS9DW7008,AMDSPD2LK15X7,A2BN750WLJYOV0,A34C7FWMPMIVVH,A2UC4H3EHIMWGC,A1O0BGHFTMPQM0,A1O9GRWIJWZEYT,A2BZY06YRWGEDL,A2YOGDCVJUR4SY,A3BKZ14V95ZNR6,A25OSUXL5HQ85C,A1QENJK6UQHPMD,AIUOH9YE27PQ2,A5B73N9C2HVEG,A1SOIE67CIL16C,A1R0NGPP4NGUTE,A3GNCNYVIN64OO,A3TEUHUFFHSCJO,A2QCQGZD7T1QNL,A3HSONMX6LNZR4,A16LTPBK99MZHO,AGKD2WB2R7QFO,A38ZV8LBZ034IZ,A3KYQT21GQY4X0,APO6KZZ79PO9Q,AF3K80U0YQJMZ,AMFKTJY2YWY5P,A3LSKI2XM8MPEB,A2JHF7CU91EVXW,A39NFW2FOEG898,AUTUFLY12U5G4,A20NITCOBY4775,A200RIU9CD4AJ8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.55330524,-0.52677642,-13.06582003,-11.44624143,-6.672310924,-50.82867692,-12.58208546,-5.992982773,-12.88389798,11.09317601,-44.32962822,-1.783793802,-19.01742534,-1.393965071,12.25806595,-1.339568637,0.3843605176,-7.035044103,-1.176028901,-0.1665988271,-19.01742535,-0.5063294297,-5.381986339,-12.71451462,-0.3677438389,1.077930788,-1.086628144,-6.4058864,-24.4792286,-3.097818902,12.88389802,-0.4027258853,-3.48E-16,11.75601074,-1.062809532,-6.906769581,6.107630875,-5.905491308,-30.17823544,-1.809073624,-0.6899726099,11.28493801,0.04033571038,-6.753434802,11.69451169,-8.118176147,6.384849224,-6.329665395,-5.676380067,-0.4135046425,-6.384849262,-17.77393098,7.466143209,-38.11416232,-19.00126701,-7.371508236,-12.08406159,5.871303444,-6.52881948,-0.017244216,11.57392451,-7.825113256,-6.329665395,-0.04033571044,-0.6391508941,10.89945977,-29.40995727,0.0355446837,0.4915376464,12.88389801,-0.535836707,0.002704934919,18.27052588,-30.23840978,-1.242472335,-5.527941468,8.589450192,-30.65213543,-11.60632293,2.578152872,6.522591065,24.22753293,-28.76393654,6.499048756
3,-0.77630534,-0.62921497,-18.76879111,-17.31402284,-6.032567015,-57.32772563,-12.58208546,-11.87887959,-6.384849224,5.56077138,-50.82867693,-1.307324036,-25.51647405,-1.316355105,6.188660526,-1.737562388,1.53358419,-0.7574530558,-0.02418098758,-6.004889168,-25.51647406,0.298072936,0.351634004,-19.21356333,1.83314916,0.08367605339,-1.039194414,-11.97074338,-18.44758399,-1.75877449,31.81125164,-0.3103002824,-6.430512638,-6.028219239,-1.401368256,-1.195132667,5.615320199,-23.22036752,-23.66685054,-1.772314822,-6.466809814,5.703664247,-0.639743909,-7.097491674,5.599769529,-13.70083828,-6.499048715,-19.2135634,-11.47469403,-0.3940709928,-12.88389796,-23.64443952,5.802217461,-31.61511357,-24.70411542,-24.69394308,-18.2733636,18.75647689,-12.4147163,0.2533897255,5.554573727,-13.29142949,-19.2135634,0.6800796194,-5.921066431,5.405730842,-35.43890924,1.201024063,0.4751972654,6.499048756,-6.493389168,0.5598510048,6.188660527,-24.04974926,-0.9358055241,-11.08237112,8.082949684,-42.91168976,-18.79841871,0.5909424505,17.84683891,12.79919817,-22.89830268,12.88389798
4,0.39585412,0.3783416,-1.714011048,6.480335525,11.659704,-6.499048702,-0.5358367071,1.071673414,18.92735362,11.32650039,-12.71451466,-0.2918499118,12.59768822,0.3504415354,36.24114085,-0.6060709495,1.554837324,0.9250494713,-0.572284848,0.9861767614,12.59768823,0.0144843186,0.6480619314,12.59768822,0.615277601,1.075198048,-0.8124841955,0.006782933105,-0.639743909,-0.227916067,19.21356341,1.084377914,12.21918633,17.58820728,-0.3808669675,0.5188783812,-11.30917753,0.535836707,-17.32751247,23.13139573,-0.02229549369,16.82365496,11.86563513,-5.911304456,11.21508973,-6.057998473,19.01742535,12.59768822,0.5274090699,-0.07995733264,18.92735362,-0.02241101907,7.381673942,-6.302910723,-7.721443768,0.1665988276,11.98025645,11.63124749,-0.6385489591,0.8314791681,11.59097836,-5.681565112,6.302910718,30.09003689,1.054861402,11.58326543,-5.992231307,1.201570814,1.936036194,38.11416235,0.535836707,-0.008758847636,12.25806595,12.2599731,0.7500375968,1.874598969,6.603420172,-24.63832616,5.746232466,3.239579794,0.4391743631,1.305264592,1.174385666,25.51647411
5,-0.04733264,-0.05173595,-1.809073624,5.863152195,-5.992231305,-44.4438277,-12.58208546,0.535836707,6.329665395,12.45412667,-31.6151136,-1.747019092,-6.302910722,1.099097499,18.27052588,-0.9330549878,0.6682993587,-1.747009543,-0.5661461788,0.4291081424,-6.302910731,-0.258983672,0.9489753453,-6.329665395,0.9997375787,1.077931259,-0.7923943655,0.8477721273,-12.53514931,-0.968990125,44.44382775,1.203108138,6.22755706,5.906485047,-1.855938569,-0.521270523,-5.599769529,-11.60632293,-23.64443952,-0.6139409569,-0.8917598816,22.40325194,17.69227102,-6.322817353,-5.709407996,-7.055074434,12.71451462,-12.71451465,-5.676380067,1.010368704,6.329665395,-12.02379721,6.342356332,-25.23026434,-5.881948673,-18.82472226,-6.01380928,17.52211023,-0.535836707,-0.3876727237,11.05107861,-6.956244196,-12.71451465,12.50537904,-0.08932871785,10.89195812,-23.50252334,1.210315686,0.8978649166,31.81125163,0.6385489588,-0.2655923297,36.24114085,-17.98034384,-0.3486002059,0.5400928554,8.68003965,-12.65806971,-12.7807086,2.084475762,12.1310963,30.09317289,-17.15611445,19.21356337
6,0.82542199,0.71133271,-0.6738621442,13.17515633,23.41772597,-19.21356335,-1.071673414,18.63691696,37.94477898,12.83427366,-6.384849262,-0.6290109094,25.31220287,-0.0268282427,42.4983829,0.01638651729,0.3391045956,-0.4111727627,-0.281832694,1.415284904,25.31220284,-0.540028817,0.6410534171,25.23026434,1.340453091,3.063960807,-0.5424080162,0.7611677144,0.0403357104,-2.173236738,50.82867697,0.7884074721,24.22162278,29.79778261,-0.7319995911,6.378593263,6.543004461,7.192095777,-5.87050854,5.81028687,-0.6899831875,23.44060242,35.47924495,1.94E-16,12.14277399,-6.564893531,44.32962821,38.11416229,1.671806927,-0.7321833845,37.94477899,-0.5696998667,24.43664142,12.71451465,-6.508355458,-1.58188373,18.20781351,17.48666127,6.469085536,0.8615585416,13.1175661,-6.497824019,31.61511358,36.11898886,1.786396833,11.57293904,0.7204153298,0.9215314885,19.00033471,50.82867697,12.49450137,-0.5023288042,42.49838291,12.2599731,-0.6155182696,2.141796399,5.525489385,-6.430512652,-11.50361068,1.573703981,-0.4217706227,1.269815626,0.102712252,50.82867697
7,0.99376468,0.84346868,5.879615193,7.132967821,29.44667794,-12.88389796,-1.174385666,12.76549585,44.44382774,12.45412667,6.499048756,0.03902142309,31.81125163,0.7256444396,42.4983829,0.3579246492,0.9347733247,0.431401328,-0.5855506033,18.52195699,31.8112516,-0.536988472,0.9441878927,38.11416227,0.9932656431,3.154550264,-0.5515564523,1.337290031,6.114763354,-0.9784824481,57.32772573,2.130868747,18.2078135,35.83974647,-0.3282454218,6.378593263,12.91799671,1.071673414,-11.62064231,17.26220921,-1.051133873,23.97065346,29.45029298,6.15E-17,18.51776624,-7.402725465,50.82867697,6.302910718,1.590049979,1.359078084,44.44382774,6.533795926,18.73092485,19.2135634,-5.914234351,-13.07622383,24.63832615,18.79192586,18.10108025,0.5386161062,18.81848266,-7.362593709,38.11416234,24.18260296,2.017638727,11.94081786,0.6800796194,0.6261862805,7.692957054,57.32772572,6.533031494,-0.2705872081,42.49838291,12.2599731,-0.9357986633,1.446858468,5.609165437,-6.430512652,-12.67799635,1.063031714,0.01888810357,0.03544896539,0.638548959,57.32772573
8,0.65041468,0.59688996,-0.0367588018,7.097518856,17.51029203,-25.51647408,0.1027122524,7.004922243,25.23026434,13.13324826,-19.01742538,0.09121906229,18.92735361,0.3277238766,42.4983829,-0.6634613391,1.236701486,-1.233181797,0.2788510298,7.228274357,6.294777495,0.274751799,1.289266739,31.61511356,-0.4196079388,2.044349648,-0.8124693888,0.03540028956,-6.668319264,-1.993541166,38.11416235,2.20225712,30.29187509,23.64579702,0.5455114117,6.378593263,6.591593308,1.174385666,-24.21413938,11.51398747,0.3934381964,23.42133475,23.54285905,-5.567247589,12.19136284,-5.711738066,37.94477896,31.61511359,0.5468366303,-0.7668018132,31.55992973,0.5696998671,13.13769751,6.329665395,-7.095036982,-0.986176761,18.20781351,24.70697439,0.535836707,1.140702913,12.07949094,-7.221263731,25.23026433,18.33201493,0.6574479444,11.59939156,0.04033571038,0.642248839,13.29109813,44.44382775,6.533031494,-0.2678832447,42.49838291,6.002731059,-0.01736936202,1.885389512,6.600687432,-6.430512652,-12.14215964,3.204094587,-0.8904893651,0.6526322959,1.277097918,38.11416232
