raw file name,category,server file name,score
1982,textiles,6.jpg,-2.67578369
1953,textiles,2.jpg,-1.81332099
1962,textiles,4.jpg,-1.37294329
1961,textiles,3.jpg,-0.62887519
1762,bokeh2,8.jpg,-0.507149763
1983,textiles,7.jpg,-0.47495089
1198,bokeh2,3.jpg,-0.265616917
1948,textiles,1.jpg,-0.24936729
1049,abstract,1.jpg,-0.22049937
1221,bricks,2.jpg,-0.21938463
2580,clouds,6.jpg,-0.15985294
2792,officeSupply,1.jpg,0
1992,textiles,8.jpg,0.00689171
1365,bokeh,2.jpg,0.06008686
1801,bricks,5.jpg,0.08665293
2519,clouds,5.jpg,0.08717183
1602,bokeh,6.jpg,0.10704762
1560,bokeh,4.jpg,0.1077976
1969,textiles,5.jpg,0.12680201
1619,bokeh2,6.jpg,0.138122454
1896,bricks,10.jpg,0.15492384
1720,fullframeplants,1.jpg,0.15846912
1130,bokeh,1.jpg,0.18057127
2284,treeBark,3.jpg,0.24773154
1721,fullframeplants,2.jpg,0.24888031
1228,bricks,4.jpg,0.30826394
1010,abstract,2.jpg,0.31406833
1909,bokeh2,9.jpg,0.341830222
1015,abstract,3.jpg,0.36760083
1905,pattern,10.jpg,0.41182062
1225,bricks,3.jpg,0.4539045
1687,bokeh2,7.jpg,0.456800749
2275,treeBark,2.jpg,0.47073164
1569,bokeh2,4.jpg,0.54338545
1386,bokeh,3.jpg,0.54825694
2015,textiles,9.jpg,0.58781271
2620,clouds,7.jpg,0.60414625
847,bokeh2,1.jpg,0.619388188
1141,bokeh2,2.jpg,0.621276155
1615,bokeh2,5.jpg,0.628604599
1912,bokeh,10.jpg,0.64575543
1845,fullframeplants,6.jpg,0.68419548
1658,bokeh,7.jpg,0.7154562
1745,fullframeplants,3.jpg,0.73118416
1220,bricks,1.jpg,0.75202339
1861,fullframeplants,10.jpg,0.77171096
1812,fullframeplants,5.jpg,0.81303471
1881,bricks,6.jpg,0.83691843
1848,fullframeplants,7.jpg,0.84802638
1813,bokeh,9.jpg,0.87589669
1025,abstract,4.jpg,0.88171433
2403,treeBark,9.jpg,0.90277674
2003,bokeh2,10.jpg,0.918555416
1894,bricks,9.jpg,0.92666689
1885,bricks,8.jpg,0.94674848
2343,treeBark,5.jpg,0.97670424
2493,clouds,2.jpg,1.00699239
1703,bokeh,8.jpg,1.01041957
1892,treeBark,1.jpg,1.02403688
1572,bokeh,5.jpg,1.02485564
1062,abstract,5.jpg,1.02562963
2744,textiles,10.jpg,1.03645221
2507,clouds,3.jpg,1.04505097
1632,pattern,5.jpg,1.06878274
1635,pattern,6.jpg,1.06932808
1852,fullframeplants,8.jpg,1.07137736
1883,bricks,7.jpg,1.09489962
1018,abstract,6.jpg,1.11331793
1263,pattern,2.jpg,1.12657367
1854,fullframeplants,9.jpg,1.1754276
2512,clouds,4.jpg,1.20531715
890,pattern,1.jpg,1.21671228
2474,clouds,1.jpg,1.28166863
1807,fullframeplants,4.jpg,1.32627061
1029,abstract,7.jpg,1.34167843
2794,officeSupply,2.jpg,1.380214
2329,treeBark,4.jpg,1.419891
2404,treeBark,10.jpg,1.48174569
1879,pattern,9.jpg,1.48388223
1035,abstract,10.jpg,1.51835853
1549,pattern,4.jpg,1.54342832
1695,pattern,8.jpg,1.55701441
1041,abstract,8.jpg,1.56440943
1046,abstract,9.jpg,1.57423463
2391,treeBark,8.jpg,1.67445156
2639,clouds,8.jpg,1.70494838
1691,pattern,7.jpg,1.76306186
2645,clouds,9.jpg,1.80692426
2384,treeBark,6.jpg,1.84945887
2385,treeBark,7.jpg,2.01780156
1547,pattern,3.jpg,2.06778811
2647,clouds,10.jpg,2.11755851
2795,officeSupply,3.jpg,2.204646
2796,officeSupply,4.jpg,2.803342
2799,officeSupply,7.jpg,3.312333
2797,officeSupply,5.jpg,3.377742
2819,officeSupply,6.jpg,3.640536
2815,officeSupply,9.jpg,3.661152
2809,officeSupply,8.jpg,3.684416
2816,officeSupply,10.jpg,3.949305
