HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4647887323944,,34,21,6,1,8,0,0,26,43,,,27,18,24,2,20,50,1,3,66,1,,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,354GIDR5ZFGPHY0KWO1FYBGORS200F,A13EQKE0TOQ07C,Submitted,Tue Oct 08 18:27:28 PDT 2019,Tue Oct 08 18:36:02 PDT 2019,Thu Nov 07 17:36:02 PST 2019,,,,514,0% (0/0),0% (0/0),0% (0/0),39,"If an image had more fine detail and color than it seemed more complex. For a few, some of the shapes reminded me of things, then I considered it more complex.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Some of the images just looked like paint palettes to me.,TRUE,FALSE,none,I am legally blind without my glasses. But corrected to 20/20 with them.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,369J354OFHKH6DXKCF6ZS4DVBCC6GO,A2ALCGZ1QWAMNO,Submitted,Tue Oct 08 17:53:20 PDT 2019,Tue Oct 08 18:04:25 PDT 2019,Thu Nov 07 17:04:25 PST 2019,,,,665,0% (0/0),0% (0/0),0% (0/0),30,IN SUCH IMAGES ARE MORE MORE DIFFICULT BECAUSE THEIR REFLECTION AND CLARITY.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD TESTING FOR EYE VISION.,TRUE,FALSE,NONE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3AAJC4I4FK2TLP7WMQODMFY688TJZZ,A1JLFQ1Q8G1SSI,Submitted,Tue Oct 08 18:18:41 PDT 2019,Tue Oct 08 18:34:58 PDT 2019,Thu Nov 07 17:34:58 PST 2019,,,,977,0% (0/0),0% (0/0),0% (0/0),25,"out of two pictures,  most of the time one picture is just a random splatter of paint, other one is also a splatter of paint but it was made by throwing paint on canvas at an desired angle. in one picture 2-3 colors are used but in other one 5-6 colors are used which make latter one more vibrant and soothing.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3CN4LGXD51Y3DHE6NXZQ260LKHVY4S,A39IP2P7OE9E4G,Submitted,Tue Oct 08 18:24:43 PDT 2019,Tue Oct 08 18:31:54 PDT 2019,Thu Nov 07 17:31:54 PST 2019,,,,431,0% (0/0),0% (0/0),0% (0/0),33,I gave my answers as to the quality of the paintings I liked a lot since they are very colorful,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,very good survey,FALSE,TRUE,none,good,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,is good,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3DPNQGW4LPP1UX40HE4YJFGSL89467,A4ND2UPE50Z6X,Submitted,Tue Oct 08 18:37:50 PDT 2019,Tue Oct 08 18:43:54 PDT 2019,Thu Nov 07 17:43:54 PST 2019,,,,364,0% (0/0),0% (0/0),0% (0/0),25,there  different  color choosing option,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I think very impressed,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3EA3QWIZ4M5142ERYGEVOQIPAXFTIE,AZDAV9Y5D0C3T,Submitted,Tue Oct 08 17:54:11 PDT 2019,Tue Oct 08 18:04:38 PDT 2019,Thu Nov 07 17:04:38 PST 2019,,,,627,0% (0/0),0% (0/0),0% (0/0),30,in such image more difficult important clarity.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,good,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3H7Z272LXBH52BTQ222OBW9K2ZTLPM,A7PG82BD02RAG,Submitted,Tue Oct 08 18:31:41 PDT 2019,Tue Oct 08 18:50:55 PDT 2019,Thu Nov 07 17:50:55 PST 2019,,,,1154,0% (0/0),0% (0/0),0% (0/0),24,I AM THINKING ONE PICTURE IS DIFFICULT TO IDENTIFY SO I SELECT THAT IT IS COMPLEX COMPARE TO ONE PICTURE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3HVVDCPGTI2NU2TW2Y0YAECD0IBTYM,A1YRC4ZIXETR6C,Submitted,Wed Oct 09 04:04:26 PDT 2019,Wed Oct 09 04:11:38 PDT 2019,Fri Nov 08 03:11:38 PST 2019,,,,432,0% (0/0),0% (0/0),0% (0/0),25,first picture is natural beautiful and second picture is arts is good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,no,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3LBXNTKX0V5FAIU8ZW9F004S44L9X1,A1WCERM9B49HOT,Submitted,Tue Oct 08 18:30:56 PDT 2019,Tue Oct 08 18:53:30 PDT 2019,Thu Nov 07 17:53:30 PST 2019,,,,1354,0% (0/0),0% (0/0),0% (0/0),25,I AM THINKING THE PICTURES WAS COMPLES AND TWO PICKTURE WAS MORE COMPLEX AND I AM CANNOT TO IDENTIFY THIS PICKTURES AND ITS MORE DIFFICULT.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3MAOD8E57UK0ZKY206SKI1ZC9SXNX7,A10RINTD0CLW1Y,Submitted,Tue Oct 08 17:53:44 PDT 2019,Tue Oct 08 18:06:04 PDT 2019,Thu Nov 07 17:06:04 PST 2019,,,,740,0% (0/0),0% (0/0),0% (0/0),30,IN SUCH IMAGES ARE MORE DIFFICULT AND CLARITY REFLECTION.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,502,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3NQL1CS15VI27UXL7T0DBW0YX1TVY2,A1LF850PGYYU08,Submitted,Tue Oct 08 17:53:52 PDT 2019,Tue Oct 08 18:07:20 PDT 2019,Thu Nov 07 17:07:20 PST 2019,,,,808,0% (0/0),0% (0/0),0% (0/0),30,in such image more difficult to clarity,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
