HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8857142857143,,35,23,3,0,6,3,0,28,42,,,25,14,29,2,11,59,4,1,65,0,,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,308XBLVESMEE1FNTOHHJ2ODUWN0BRJ,AX7P4UZM33QPO,Rejected,Sun Nov 03 23:52:37 PST 2019,Sun Nov 03 23:55:36 PST 2019,Tue Dec 03 23:55:36 PST 2019,,Thu Nov 07 00:36:36 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",179,0% (0/1),0% (0/1),0% (0/1),49,GOOD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,30BXRYBRP87T0O71N31LBYO9JFKHW8,A1YGG7LBCMRPO1,Rejected,Sun Nov 03 23:57:03 PST 2019,Mon Nov 04 00:04:14 PST 2019,Wed Dec 04 00:04:14 PST 2019,,Thu Nov 07 00:37:54 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",431,0% (0/1),0% (0/1),0% (0/1),25,"When you save an image, you'll need to pick a file type. But which should you use? Learn some factors that will help you to decide between JPG or PNG. ... There is no one-size-fits-all for image file formats. ... The reason is because the compression is lossy, which means that certain ... There is no right or wrong answer!",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I THINK IS GOOD,TRUE,FALSE,NONE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,33F859I56AN1CL9QSC5POKBO9E2HBS,A13VEEU1DPKKOU,Rejected,Sun Nov 03 23:55:09 PST 2019,Sun Nov 03 23:59:09 PST 2019,Tue Dec 03 23:59:09 PST 2019,,Thu Nov 07 00:36:36 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",240,0% (0/1),0% (0/1),0% (0/1),25,good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,i think is good experience,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,3570Y55XZTTJPX7QIY1RBVXOFN6YGO,AV9UE5LJ0SW4R,Rejected,Sun Nov 03 23:51:58 PST 2019,Mon Nov 04 00:14:53 PST 2019,Wed Dec 04 00:14:53 PST 2019,,Thu Nov 07 00:39:02 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1375,0% (0/1),0% (0/1),0% (0/1),26,"You should revise and edit in stages: do not expect to catch everything in one go. ... In the second section of this chapter, you will focus more on editing: ... Revising and editing allow you to examine two important aspects of your writing ... You make your essay into a polished, mature piece of writing, the end product of your ...",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,35BLDD71IA72CK7Q3F2WP3908WYZV5,A2OS56DQ82O2U5,Rejected,Sun Nov 03 23:57:10 PST 2019,Mon Nov 04 00:04:12 PST 2019,Wed Dec 04 00:04:12 PST 2019,,Thu Nov 07 00:40:56 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer ""Various factors may have influenced your choices"", because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",422,0% (0/1),0% (0/1),0% (0/1),35,Various factors may have influenced your choices.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Send out short surveys. ...Provide clients with feedback guidelines. ...Use collaboration platform or tools specifically designed for feedback. ...",TRUE,FALSE,NONE,NICE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NONE,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,374TNBHA8F5A2M14LU63591QLAFYQJ,AFRSASN33QBC3,Rejected,Sun Nov 03 23:54:16 PST 2019,Mon Nov 04 00:03:52 PST 2019,Wed Dec 04 00:03:52 PST 2019,,Thu Nov 07 00:36:36 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",576,0% (0/2),0% (0/2),0% (0/1),23,LEFT BOX MORE COMPLEX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NICE TASK,TRUE,FALSE,NONE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,37ZHEEHM60WZG1Z10A47FOOI7JV73R,A267H808C339ZQ,Rejected,Mon Nov 04 00:23:54 PST 2019,Mon Nov 04 00:46:13 PST 2019,Wed Dec 04 00:46:13 PST 2019,,Thu Nov 07 00:42:17 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1339,67% (2/3),67% (2/3),0% (0/1),24,"ITS VERY UNIQUE AND BEAUTIFUL AND MORE IMAGE OF COLOURFUL IN THIS IMAGE.,",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ITS VERY USEFUL AND COLOURFUL IMAGE AND BEAUTIFULLY. DO YOU HAVE MORE THAN CREATIVE AND SUCCESSFUL,FALSE,TRUE,NONE,"YES, I NORMAL VISION",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,382M9COHELP4OARU22EE876Z6JGUE5,A19ZA4GG7S0BKI,Rejected,Sun Nov 03 23:52:11 PST 2019,Sun Nov 03 23:58:23 PST 2019,Tue Dec 03 23:58:23 PST 2019,,Thu Nov 07 00:45:57 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",372,0% (0/1),0% (0/1),0% (0/1),32,the flowers seems to be blossom and attractive i love  each one of them,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,no,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
33KGGVH25XQVZTUJ5HPKXARJQRG1X2,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Nov 03 23:51:37 PST 2019,70,BatchId:3823060;OriginalHitTemplateId:928390828;,1800,2592000,Tue Dec 03 23:51:37 PST 2019,,,3B3WTRP3DFCE92RBB7OMAAAWWVH92S,A2PU5BM2YXFQQS,Rejected,Sun Nov 03 23:52:01 PST 2019,Sun Nov 03 23:59:39 PST 2019,Tue Dec 03 23:59:39 PST 2019,,Thu Nov 07 00:47:57 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",458,0% (0/1),0% (0/1),0% (0/1),30,"I Like flower, I see the peaceful mind",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Good Survey,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
