HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3714285714286,,34,13,5,0,16,2,0,26,44,0,0,35,15,17,3,21,49,2,6,60,2,,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,31JLPPHS2Y4617R0HWL9QAADXHL3OB,AQW6JKAU7Y466,Rejected,Mon Nov 04 15:20:13 PST 2019,Mon Nov 04 15:35:35 PST 2019,Wed Dec 04 15:35:35 PST 2019,,Thu Nov 07 02:07:38 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",922,0% (0/1),0% (0/1),0% (0/1),24,good,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,good,TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,320DUZ38GBWTU8CRWY0O18I02S4JG4,A1BF1W2XN5BWFQ,Rejected,Mon Nov 04 14:49:20 PST 2019,Mon Nov 04 15:13:00 PST 2019,Wed Dec 04 15:13:00 PST 2019,,Thu Nov 07 03:28:10 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1420,50% (1/2),50% (1/2),50% (1/2),27,Easy to understand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,379J5II41SQ15K40TOMDHKAGT16LE3,A2YWDJ41GY2QTD,Rejected,Mon Nov 04 15:20:23 PST 2019,Mon Nov 04 15:24:51 PST 2019,Wed Dec 04 15:24:51 PST 2019,,Thu Nov 07 02:07:38 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",268,0% (0/1),0% (0/1),0% (0/1),27,none,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,nice,TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,37ZHEEHM60WZG1Z10A47FOOI7SD37N,A1ZWDUFNFILYJJ,Rejected,Mon Nov 04 15:24:54 PST 2019,Mon Nov 04 15:35:45 PST 2019,Wed Dec 04 15:35:45 PST 2019,,Thu Nov 07 02:07:38 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",651,0% (0/1),0% (0/1),0% (0/1),27,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,nice,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3AQF3RZ55CSBSD1P1V0HAJDJF7LF6W,A60PGQO04BK7C,Rejected,Mon Nov 04 14:52:41 PST 2019,Mon Nov 04 15:06:00 PST 2019,Wed Dec 04 15:06:00 PST 2019,,Thu Nov 07 02:07:38 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",799,0% (0/1),0% (0/1),0% (0/1),25,good,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3BWI6RSP7KJ2QZFYPUL3YFSFYHPE7B,A3JQOZVW7N38II,Rejected,Mon Nov 04 15:24:43 PST 2019,Mon Nov 04 15:29:24 PST 2019,Wed Dec 04 15:29:24 PST 2019,,Thu Nov 07 03:36:55 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",281,0% (0/1),0% (0/1),0% (0/1),27,Offer candid images of your team. ... Choose images that reinforce your brand. ... Be consistent with images. ... Crop images for greater impact,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,nice,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3D3VGR7TA4P9YKJG9O2DK5FI84FR3I,A1OILO7O7PBGGW,Rejected,Mon Nov 04 15:53:42 PST 2019,Mon Nov 04 16:02:12 PST 2019,Wed Dec 04 16:02:12 PST 2019,,Thu Nov 07 03:36:55 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",510,0% (0/1),0% (0/1),0% (0/1),30,first picture was very complex to me.there are many various factors have influenced my choices.i have normal i vision so i have choose specific factors of the picture.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3EO896NRA05XZDYXGYZV0RXPSMCJTD,A1RK4PGIIJGBQN,Rejected,Mon Nov 04 14:49:28 PST 2019,Mon Nov 04 14:52:40 PST 2019,Wed Dec 04 14:52:40 PST 2019,,Thu Nov 07 02:07:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",192,0% (0/1),0% (0/1),0% (0/1),33,great,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,great,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3KIBXJ1WD94CX5Z722D87WRF83DOKD,A2EC3L6VH2WTKF,Rejected,Mon Nov 04 15:37:36 PST 2019,Mon Nov 04 15:46:33 PST 2019,Wed Dec 04 15:46:33 PST 2019,,Thu Nov 07 02:07:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",537,0% (0/2),0% (0/1),0% (0/1),27,yes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,nice,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
335VBRUREM94IY6XEPELOROV80IE9A,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Mon Nov 04 14:48:55 PST 2019,70,BatchId:3824087;OriginalHitTemplateId:928390828;,1800,2592000,Wed Dec 04 14:48:55 PST 2019,,,3LEP4MGT3KAK054O6GMZXZWQHVRBDD,A37YC7R1H04X9P,Rejected,Mon Nov 04 15:20:18 PST 2019,Mon Nov 04 15:23:49 PST 2019,Wed Dec 04 15:23:49 PST 2019,,Thu Nov 07 03:40:47 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",211,0% (0/1),0% (0/1),0% (0/1),27,Discard out of focus photos. Dark photos will look even darker in print. Photos should be slightly more contrasty than usual. Large expanses of white will blend with the paper.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,nice,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
