HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9125,,37,20,5,0,15,3,0,38,42,0,0,32,24,22,2,22,58,2,8,68,2,,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,308XBLVESMEE1FNTOHHJ2ODUUU0BRV,ASVP3M0AQ1HG4,Rejected,Fri Oct 25 20:49:42 PDT 2019,Fri Oct 25 21:18:00 PDT 2019,Sun Nov 24 20:18:00 PST 2019,,Sat Oct 26 19:17:39 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking about how difficult the comparison task is. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1698,50% (1/2),50% (1/2),50% (1/2),31,find the picture to difficult. complexity is very than the other.condition of being difficult to understand or of lacking simplicity the complexity of a probelm.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,TRUE,FALSE,none,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,32AT8R96GPJ5YTWC3XYJXOAE5HRUSK,AAA9J279EF3M1,Rejected,Fri Oct 25 21:09:47 PDT 2019,Fri Oct 25 21:26:17 PDT 2019,Sun Nov 24 20:26:17 PST 2019,,Sat Oct 26 19:17:39 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking about how difficult the comparison task is. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",990,0% (0/1),0% (0/1),0% (0/1),31,being difficult to understand or find an answer to . quality of being complex.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good.,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,33FBRBDW6S9RTF03387EMRO7MNA8CL,A238OD6LO49BQB,Rejected,Fri Oct 25 20:20:11 PDT 2019,Fri Oct 25 20:25:01 PDT 2019,Sun Nov 24 19:25:01 PST 2019,,Sat Oct 26 17:33:58 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""yes"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",290,0% (0/1),0% (0/1),0% (0/1),31,BRICK,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO COMMENTS,FALSE,TRUE,NONE,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,RED,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3634BBTX0S4RLXWQ3W967M3OMW7FIB,A13LKWKNDRONU7,Rejected,Fri Oct 25 20:19:34 PDT 2019,Fri Oct 25 20:32:34 PDT 2019,Sun Nov 24 19:32:34 PST 2019,,Sat Oct 26 17:33:58 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""yes"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",780,0% (0/1),0% (0/1),0% (0/1),22,good,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3CFJTT4SXX0E64HKLDBUJUQ7O8OI7A,A2238DIUUMS7AQ,Rejected,Fri Oct 25 20:19:41 PDT 2019,Fri Oct 25 20:20:40 PDT 2019,Sun Nov 24 19:20:40 PST 2019,,Sat Oct 26 17:33:58 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""yes"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",59,0% (0/1),0% (0/1),0% (0/1),28,GOOD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,GOOD,TRUE,FALSE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NONE,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3DIP6YHAPG26QDKHZZD9CFOA7ZPE8M,A3E13CFHGBR2J8,Rejected,Fri Oct 25 20:49:09 PDT 2019,Fri Oct 25 21:05:50 PDT 2019,Sun Nov 24 20:05:50 PST 2019,,Sat Oct 26 19:09:15 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for what you did in the comparison task. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1001,0% (0/1),0% (0/1),0% (0/1),29,look like two images are more complex and slitly different from one to other.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,good task.,TRUE,FALSE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,none,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3HMIGG0U4PG4WI18Z0P3JIGQPBRY8I,AFRSASN33QBC3,Rejected,Fri Oct 25 20:32:15 PDT 2019,Fri Oct 25 20:38:12 PDT 2019,Sun Nov 24 19:38:12 PST 2019,,Sat Oct 26 18:56:30 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""5th picture is more complex"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",357,0% (0/1),0% (0/1),0% (0/1),25,30 COMPLEX MORE THERE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,GOOD,TRUE,FALSE,NONE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3HOSI13XH3YDF228KCD5SPKQIEJDDW,A2XLD73DLFU01Q,Rejected,Fri Oct 25 20:19:41 PDT 2019,Fri Oct 25 20:23:30 PDT 2019,Sun Nov 24 19:23:30 PST 2019,,Sat Oct 26 17:33:59 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""yes"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",229,0% (0/1),0% (0/1),0% (0/1),21,good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,very nice,TRUE,FALSE,none,nice,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,none,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3I0BTBYZA1VMETW54WCOQ3A86DG0YY,A1A3S0HSZZGZ43,Rejected,Fri Oct 25 20:19:22 PDT 2019,Fri Oct 25 20:26:44 PDT 2019,Sun Nov 24 19:26:44 PST 2019,,Sat Oct 26 20:58:35 PDT 2019,"Thank you for your interest in our study. We asked you to state the criteria by which you judged that one photo was more complex than the other.  Your response to this question could not be used to make such a determination, and so we are obliged to reject your submission. Nonetheless, appreciate and thank you for your interest in our study.",442,0% (0/1),0% (0/1),0% (0/1),25,ONE IMAGE IS BAD COMPARE TO ANOTHER IMAGE. IT IS IDENTIFY TO ANOTHER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,GOOD,FALSE,TRUE,NONE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3ZZAYRN1J909E4S069MYK3JL5LYTON,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 20:17:56 PDT 2019,80,BatchId:3814523;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 19:17:56 PST 2019,,,3J2UYBXQQPMKV9MZYDHW7CQF73N604,A119XB4OETWU59,Rejected,Fri Oct 25 20:21:09 PDT 2019,Fri Oct 25 20:32:25 PDT 2019,Sun Nov 24 19:32:25 PST 2019,,Sat Oct 26 18:56:30 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""5th picture is more complex"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",676,0% (0/2),0% (0/2),0% (0/1),25,54 th picture of this task very complex compared to other pictures,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,good,TRUE,FALSE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,color-blindness,,
