HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,33CUSNVVNRMPHCAQMWR9K5SORX888V,AC54HUSIFWSP,Rejected,Mon Sep 30 09:21:21 PDT 2019,Mon Sep 30 09:24:29 PDT 2019,Wed Oct 30 09:24:29 PDT 2019,,Sat Oct 05 20:44:39 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",188,0% (0/2),0% (0/2),0% (0/1),27,it was  wonderful,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I think it was good hit,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,34Z02EIMIWNQX7XBUQPPIMITM9RT0M,A80ZQS34472ZL,Rejected,Sun Sep 29 21:34:12 PDT 2019,Sun Sep 29 21:50:42 PDT 2019,Tue Oct 29 21:50:42 PDT 2019,,Mon Sep 30 07:48:31 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",990,0% (0/1),0% (0/1),0% (0/0),24,like,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,35H6S234SEAJQG80VJN8O7M6KNE65P,A2MI45TMDWRNZU,Rejected,Sat Oct 05 20:49:38 PDT 2019,Sat Oct 05 21:05:17 PDT 2019,Mon Nov 04 20:05:17 PST 2019,,Sat Oct 05 21:49:01 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",939,0% (0/1),0% (0/1),0% (0/0),27,all very easy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,all is well,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,39KFRKBFIR57HAOO6HEZG46QZEDOYK,AZFHBOI9IHMK4,Rejected,Sun Sep 29 21:34:44 PDT 2019,Sun Sep 29 21:59:52 PDT 2019,Tue Oct 29 21:59:52 PDT 2019,,Mon Sep 30 07:33:18 PDT 2019,"Dear worker,

Thank you very much for your engagement in our image study! 

However, as noted on our instruction page, you cannot be color-blind to participate in this study.  We're sorry, but we are unable to use your results in our study.  Nonetheless, we appreciate your interest and participation; thank you.

    The Image Team",1508,0% (0/1),0% (0/1),0% (0/0),25,complex,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,TRUE,FALSE,no,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,color-blindness,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3D8YOU6S9IU0BVYFWKVGWJEMITO6U1,A2P7IU3JLL4VW2,Rejected,Mon Sep 30 10:02:35 PDT 2019,Mon Sep 30 10:12:39 PDT 2019,Wed Oct 30 10:12:39 PDT 2019,,Sat Oct 05 20:44:39 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",604,0% (0/1),0% (0/1),0% (0/0),24,this task is very easy to identify,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,nice,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3DQQ64TANKVLD55P6G9QK7Q0YEIPWI,A23BHIE4PDKP1Y,Rejected,Mon Sep 30 09:43:20 PDT 2019,Mon Sep 30 09:54:28 PDT 2019,Wed Oct 30 09:54:28 PDT 2019,,Sat Oct 05 20:44:39 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",668,0% (0/1),0% (0/1),0% (0/0),24,this task is very easy to identify,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,nice,TRUE,FALSE,none,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3E13VNJ1NR50VI2IWXULIKZUGK5I1L,AHLS6AZ1VTNH7,Rejected,Sun Sep 29 21:04:31 PDT 2019,Sun Sep 29 21:11:16 PDT 2019,Tue Oct 29 21:11:16 PDT 2019,,Mon Sep 30 07:48:31 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",405,0% (0/1),0% (0/1),0% (0/0),28,easy to find .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good one,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3G0WWMR1UZUGQNXQESXSOT3JAYXQNG,ACXHJDB1220SR,Rejected,Mon Sep 30 09:34:28 PDT 2019,Mon Sep 30 09:59:47 PDT 2019,Wed Oct 30 09:59:47 PDT 2019,,Sat Oct 05 21:49:01 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1519,0% (0/1),0% (0/1),0% (0/0),24,this picture is some dificulte,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,nice,FALSE,TRUE,none,nothing,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3GA6AFUKOSYW9Q5DDJQJ61DCEU7H3S,A2QU0ASAUX4S64,Rejected,Mon Sep 30 09:33:56 PDT 2019,Mon Sep 30 09:54:44 PDT 2019,Wed Oct 30 09:54:44 PDT 2019,,Sat Oct 05 20:44:40 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1248,0% (0/1),0% (0/1),0% (0/0),24,this task is very easy to identify,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,nice,FALSE,TRUE,none,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3087LXLJ7PPESIIG94FYDY82FOOF0I,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Sun Sep 29 21:02:35 PDT 2019,86,BatchId:3783332;OriginalHitTemplateId:928390828;,1800,2592000,Sun Oct 13 21:02:35 PDT 2019,,,3KIBXJ1WD94CX5Z722D87WRF2D3KOD,ADCYOXSQB2T8L,Rejected,Sat Oct 05 21:15:57 PDT 2019,Sat Oct 05 21:33:26 PDT 2019,Mon Nov 04 20:33:26 PST 2019,,Sat Oct 05 21:49:02 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1049,0% (0/1),0% (0/1),0% (0/0),27,The images very simple and nice.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,all is well.,TRUE,FALSE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,none,,
