HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,UPDATE-abstract,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3D4CH1LGEE34OWZIAM9BCE4X1DNG9C,A3391V06PM1N3,Rejected,,Tue Oct 08 18:16:54 PDT 2019,Tue Oct 08 18:21:59 PDT 2019,Thu Nov 07 17:21:59 PST 2019,,Mon Oct 21 17:18:03 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""simple task, easy to complete"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",305,0% (0/1),0% (0/1),0% (0/1),30,1,Christina,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"maybe give a definition on what you mean by complex, is it complex to photograph? Draw? Paint?",TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3G0WWMR1UZUGQNXQESXSOT3JCPDQNG,A2R7YT4R9CAVIK,Rejected,,Tue Oct 08 18:16:11 PDT 2019,Tue Oct 08 18:25:15 PDT 2019,Thu Nov 07 17:25:15 PST 2019,,Mon Oct 21 14:01:44 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""yes"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",544,0% (0/1),0% (0/1),0% (0/1),28,1,good,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I found this study very good and interesting,TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3IJXV6UZ11TOON1ZUR90OBH7MDNRI6,A2HX13XTRKDD9C,Rejected,,Tue Oct 08 18:32:30 PDT 2019,Tue Oct 08 18:35:09 PDT 2019,Thu Nov 07 17:35:09 PST 2019,,Mon Oct 21 14:11:28 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""YES"" ""NO"" ""two pictures"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",159,0% (0/1),0% (0/1),0% (0/1),27,1,yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,you photes super i like hit,FALSE,TRUE,no,no,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,no,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3LPW2N6LKXC4SRY1R1LB4D0MOPJ5UA,A3H1VMOLXJG6NP,Rejected,,Tue Oct 08 18:44:39 PDT 2019,Tue Oct 08 18:59:44 PDT 2019,Thu Nov 07 17:59:44 PST 2019,,Mon Oct 21 14:11:28 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""YES"" ""NO"" ""two pictures"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",905,50% (1/2),50% (1/2),50% (1/2),27,1,NO,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NOTHING,TRUE,FALSE,NONE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,3QHK8ZVMIQS3YHSGJXKNGC4VLU9BLK,A2RJBMEEVBZ8EZ,Rejected,,Tue Oct 08 18:01:24 PDT 2019,Tue Oct 08 18:15:51 PDT 2019,Thu Nov 07 17:15:51 PST 2019,,Mon Oct 21 17:44:42 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""mostly right"" ""beautiful pic"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",867,0% (0/1),0% (0/1),0% (0/1),24,1,mostly right,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,perfect,TRUE,FALSE,none,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,35LDD5557EEOX2EVPMYVFS2A8TBKMI,A3QU964EOJXS56,Rejected,,Tue Oct 08 18:20:09 PDT 2019,Tue Oct 08 18:25:16 PDT 2019,Thu Nov 07 17:25:16 PST 2019,,Wed Oct 09 04:04:15 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""yes"" ""easy to read and visiable"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",307,0% (0/1),0% (0/1),0% (0/0),27,1,YES,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,YOU PHOTOS SUPER I LIKE HIT,TRUE,FALSE,NO,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,373ERPL3YSIEX1HAO3842IJGXTYRTG,A2HITRHQ441VHA,Rejected,,Tue Oct 08 17:56:08 PDT 2019,Tue Oct 08 18:02:41 PDT 2019,Thu Nov 07 17:02:41 PST 2019,,Mon Oct 21 16:43:08 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""IT WAS RARE PICTURE I HAVE EVER SEEN IN INTERNET"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",393,50% (1/2),50% (1/2),50% (1/2),31,1,IT WAS RARE PICTURE I HAVE EVER SEEN IN INTERNET,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,38JBBYETQSK57CXFNWNWV38525S4EL,A2D4RMKLUQ6RZA,Rejected,,Tue Oct 08 18:26:51 PDT 2019,Tue Oct 08 18:38:57 PDT 2019,Thu Nov 07 17:38:57 PST 2019,,Mon Oct 21 13:37:19 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""IT WAS MORE COMPLEX"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",726,0% (0/1),0% (0/1),0% (0/1),27,1,IT WAS MORE COMPLEX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I THINK IT WAS MORE COMPLEX,FALSE,TRUE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,38SKSKU7R57DLP6MP7C42Z88GL0IL9,A38CJGMJRTWE87,Rejected,,Tue Oct 08 18:49:58 PDT 2019,Tue Oct 08 18:57:15 PDT 2019,Thu Nov 07 17:57:15 PST 2019,,Mon Oct 21 17:04:24 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""FOR TWO PICTURES ON OF THAT IS LOOK LIKE MORE COMPLEXITY.SO I FIX ONE"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",437,0% (0/1),0% (0/1),0% (0/1),24,1,FOR TWO PICTURES ON OF THAT IS LOOK LIKE MORE COMPLEXITY.SO I FIX ONE OF THEM.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,TRUE,FALSE,NONE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3AJA9FLWTF7PZDZWDU44J28Y13KIF1,3SGI3JPMZ3CY2WT91CI4HVW8VMSFBI,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 08 17:52:36 PDT 2019,531,BatchId:3794095;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 07 16:52:36 PST 2019,,,39GXDJN2OXONSO63UP2JCJCW4N1V81,AUBWCJ80TD1CU,Rejected,,Tue Oct 08 19:25:07 PDT 2019,Tue Oct 08 19:33:33 PDT 2019,Thu Nov 07 18:33:33 PST 2019,,Mon Oct 21 17:05:00 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",506,0% (0/1),0% (0/1),0% (0/1),36,1,"Lawn Problem Homeowners complain more about moss on their lawn than any other lawn problem.  Moss thrives in damp and shady areas. Lawns usually affected are those with heavy surface thatch or compacted soils. Apart from thatch and soil compaction the most common cause of moss on lawns is mowing too short.  It is important never to cut your lawn less than 25mm (1”) unless, of course, you like moss on your lawn. This is because lawn grasses struggle to survive when cut very short.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"i think ,As a design leader, it’s your responsibility to develop your team’s talent and help them grow their careers.",TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,none,,
