HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,24,5,0,5,1,0,22,63,0,0,22,35,26,2,13,72,2,1,81,1,,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3WAKVUDHU0QJFVCKFU082XEIW6QU7T,A14NP6X071S7GK,Approved,Wed Dec 25 01:51:21 PST 2019,Wed Dec 25 01:55:40 PST 2019,Fri Jan 24 01:55:40 PST 2020,Fri Dec 27 20:38:16 PST 2019,,,259,100% (2/2),100% (1/1),100% (1/1),32,The main thing I considered was the amount and types of objects in the photo such as individual blades of grass versus a drop of paint. I feel like the amount of detail when you focus in should be a primary consideration. The second thing I considered was color.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3D3VGR7TA4P9YKJG9O2DK5FIK6P3RK,A16FY9L7QTDNRW,Approved,Wed Dec 25 18:29:59 PST 2019,Wed Dec 25 18:35:01 PST 2019,Fri Jan 24 18:35:01 PST 2020,Fri Dec 27 20:38:13 PST 2019,,,302,100% (2/2),100% (1/1),100% (1/1),54,The pattern and resolution of the pictures.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No Thanks,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,34FNN24DCQJL90I612I07Y6Z1O85YP,A1IHI23KH87K5W,Approved,Wed Dec 25 02:27:08 PST 2019,Wed Dec 25 02:33:38 PST 2019,Fri Jan 24 02:33:38 PST 2020,Fri Dec 27 20:38:13 PST 2019,,,390,100% (2/2),100% (1/1),100% (1/1),51,"Nature is typically more complex than man made stuff, and the more variety of natural stuff, the more complex it is.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"It was fine, no problems, thanks.",FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3QRYMNZ7F2RTI3PIVWRNTYE6D76NTO,A1MIR0TP081SKT,Approved,Wed Dec 25 08:14:54 PST 2019,Wed Dec 25 08:21:14 PST 2019,Fri Jan 24 08:21:14 PST 2020,Fri Dec 27 20:38:15 PST 2019,,,380,100% (2/2),100% (1/1),100% (1/1),30,The structures and edges of the content in the image helped me to decide the complexity.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3WSELTNVR7CMYKVTMSMI7SU6EZ0ATI,A1NF6PELRKACS9,Approved,Tue Dec 24 21:48:50 PST 2019,Tue Dec 24 21:53:24 PST 2019,Thu Jan 23 21:53:24 PST 2020,Fri Dec 27 20:38:16 PST 2019,,,274,100% (2/2),100% (1/1),100% (1/1),54,"colors, shape, difficulty in reproducing image, structure, repetition, abstraction, whether the composition is common or rare.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3LWJHTCVCGW42VK9G4EFGOUAR8GQFZ,A1RWNYJA5X25YH,Approved,Tue Dec 24 22:17:42 PST 2019,Tue Dec 24 22:25:22 PST 2019,Thu Jan 23 22:25:22 PST 2020,Fri Dec 27 20:38:14 PST 2019,,,460,100% (2/2),100% (1/1),100% (1/1),69,The smaller the design of the mass or the more complicated the design makes it complex.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,It was interesting to do,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3T111IHZ5I0VDM8WQX3NBII4KXG9RM,A218S9QMWS15U,Approved,Wed Dec 25 04:31:23 PST 2019,Wed Dec 25 04:37:11 PST 2019,Fri Jan 24 04:37:11 PST 2020,Fri Dec 27 20:38:15 PST 2019,,,348,100% (1/1),100% (1/1),100% (1/1),60,I considered a picture to be more complex than the other one if it was thought-provoking. The blank picture was more complex to me because it made me imagine what could be there....,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,no,TRUE,FALSE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3R6BYFZZPBMOBSLL2I97AWQ3OCZFXJ,A22KRF782ELLB0,Approved,Wed Dec 25 05:56:57 PST 2019,Wed Dec 25 06:03:25 PST 2019,Fri Jan 24 06:03:25 PST 2020,Fri Dec 27 20:38:15 PST 2019,,,388,100% (2/2),100% (1/1),100% (1/1),38,"I tended to view images that had less uniformity as being complex, or if there was more color variation. If it looked less uniform or had less of a rigid structure, then I tended to view that as being more complex than those images that seemed more structured.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I don't really have anything else to add.,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3YHH42UU5FP2EUP6LHNYWV8CB0GL0D,A2341KCW7BI2NS,Approved,Wed Dec 25 00:11:58 PST 2019,Wed Dec 25 00:18:56 PST 2019,Fri Jan 24 00:18:56 PST 2020,Fri Dec 27 20:38:16 PST 2019,,,418,100% (1/1),100% (1/1),100% (1/1),39,"complexity of pictures depends on how complex they look visually,in my view i think more messy or more objects containning pictures are more complex.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3QQUBC640HNYD018A4NIUH4NVI2NXX,3XDA6L0PG3YJNN7A51OZW3OQ8ABWCX,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Dec 24 21:45:10 PST 2019,30,BatchId:3877587;OriginalHitTemplateId:928390828;,1800,2592000,Thu Jan 23 21:45:10 PST 2020,,,3RU7GD8VPS3S6OOGMBZPNINFB2OPSQ,A26RPQDD0RQEHL,Approved,Tue Dec 24 22:15:37 PST 2019,Tue Dec 24 22:22:02 PST 2019,Thu Jan 23 22:22:02 PST 2020,Fri Dec 27 20:38:15 PST 2019,,,385,100% (2/2),100% (1/1),100% (1/1),44,Visually Complex,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,It is a good study.,FALSE,TRUE,None,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,None,,
