HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,72,27,2,63,8,0,120,205,0,0,164,88,58,15,71,254,15,19,286,5,,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,30LSNF239Y57K3KEF1UZN39ZKT5I26,A3SD02HCW68EUL,Rejected,Tue Nov 26 12:32:50 PST 2019,Tue Nov 26 12:53:04 PST 2019,Thu Dec 26 12:53:04 PST 2019,,Tue Dec 03 14:55:18 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1214,0% (0/1),0% (0/1),0% (0/1),29,The complexity of the photo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,no,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,No,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,33LK57MYLXFMKSQM9KXREGPTE1AZST,A3BUSRXW32A27S,Rejected,Tue Nov 26 12:48:42 PST 2019,Tue Nov 26 12:51:35 PST 2019,Thu Dec 26 12:51:35 PST 2019,,Tue Dec 03 14:55:18 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",173,0% (0/1),0% (0/1),0% (0/1),31,in the task on very simple on work.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,34T446B1C4O9BQV084UZTCIPAR50C8,A10RINTD0CLW1Y,Rejected,Tue Nov 26 12:43:51 PST 2019,Tue Nov 26 13:02:12 PST 2019,Thu Dec 26 13:02:12 PST 2019,,Tue Dec 03 15:08:24 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1101,50% (2/4),0% (0/1),0% (0/1),30,HIGH RESOLUTION IN CLARITY.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3A0EX8ZRNCYNYGZF2C9DAK6R4JOYB4,A3YP2RNFZ1PQP,Rejected,Tue Nov 26 13:04:20 PST 2019,Tue Nov 26 13:25:51 PST 2019,Thu Dec 26 13:25:51 PST 2019,,Tue Dec 03 15:05:04 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1291,0% (0/1),0% (0/1),0% (0/1),27,Draw a list of the information needed. ...,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Start early. Good design isn't art, it's a solution that effectively and efficiently solves a business problem. ...",FALSE,TRUE,Rest. It's important to rest your arm as much as possible to allow it to heal.,"Thanks to one of the many “gifts” that come with more birthdays, all eyes 45 or older manifest a condition called presbyopia, a person can have 20/20 vision for distance and still need glasses for near-range vision.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"However, it is extremely rare to be totally color blind. Although there are exceptions, most patients affected by color blindness are able to see colors other than black and white—they just perceive them in a different wa",,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3AMW0RGHOHCVQBWBEFI3OOD9H3ZNPO,A191S6OYAK1N2Q,Rejected,Tue Nov 26 13:03:35 PST 2019,Tue Nov 26 13:19:44 PST 2019,Thu Dec 26 13:19:44 PST 2019,,Tue Dec 03 15:03:27 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",969,0% (0/2),0% (0/1),0% (0/1),28,yes i have choose the more complex of the all pictures.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,excellant,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3B3WTRP3DFCE92RBB7OMAAAW14L92J,A7QRHHOSXY49A,Rejected,Tue Nov 26 12:41:34 PST 2019,Tue Nov 26 13:02:44 PST 2019,Thu Dec 26 13:02:44 PST 2019,,Tue Dec 03 15:08:24 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1270,40% (2/5),0% (0/2),0% (0/1),30,HIGH RESOLUTION IN CLARITY,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,NONE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NONE,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3B3WTRP3DFCE92RBB7OMAAAW14R29I,A1S2MN0E9BHPVA,Rejected,Tue Nov 26 13:09:39 PST 2019,Tue Nov 26 13:15:29 PST 2019,Thu Dec 26 13:15:29 PST 2019,,Tue Dec 03 15:41:54 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",350,0% (0/1),0% (0/1),0% (0/1),30,"paper was toren and there were scribbled paper all over the page , some paper were made like paper balls and some garbage and pen on scribbled paper",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,it was good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3DH6GAKTY2ZJGE2V8QPGW2DUVL2ZY1,A2JZTBEU8B8MXW,Rejected,Tue Nov 26 12:41:03 PST 2019,Tue Nov 26 12:46:29 PST 2019,Thu Dec 26 12:46:29 PST 2019,,Tue Dec 03 14:55:18 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",326,0% (0/1),0% (0/1),0% (0/1),21,it is very simple task on work,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
385MDVINGFON5A5XL1Z4ZR9ZCIGWJ5,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Nov 26 12:32:39 PST 2019,70,BatchId:3850013;OriginalHitTemplateId:928390828;,1800,2592000,Thu Dec 26 12:32:39 PST 2019,,,3EQHHY4HQW2LN9X67WWU0YZVPQ4G5D,A1T621MZGIEGZY,Rejected,Tue Nov 26 12:32:52 PST 2019,Tue Nov 26 12:50:58 PST 2019,Thu Dec 26 12:50:58 PST 2019,,Tue Dec 03 16:12:55 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked you explicitly to ELABORATE how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer. Nonetheless, we appreciate your interest and participation.",1086,0% (0/1),0% (0/1),0% (0/1),27,the physical appearance of each picture tells the complexity of it.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,nice work.,FALSE,TRUE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
