HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1640625,,60,31,13,0,18,6,0,53,75,0,0,69,38,20,1,16,112,2,11,114,1,,,
3ZRKL6Z1FBCK7RYNTQ405PEXCGXSGE,3XLRCUUVLYE30F5QHM3GVHR5VH0U40,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 22:27:35 PDT 2019,80,BatchId:3814573;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 21:27:35 PST 2019,,,3LOTDFNYAB99MSGVSDDL8DCW4MRFW1,A289DF24X3Q8JZ,Rejected,Mon Nov 11 20:24:30 PST 2019,Mon Nov 11 20:26:52 PST 2019,Wed Dec 11 20:26:52 PST 2019,,Tue Nov 19 09:59:21 PST 2019,"Hi, and thank you for your engagement in our study. In our task, we explicitly asked how you judged the complexity between a pair of images, not which image you like the best, therefore we cannot use your result in our study. Nonetheless, we appreciate your interests.",142,0% (0/1),0% (0/1),0% (0/0),28,I found the towel in the swirl the best,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I think it was interesting,TRUE,FALSE,none,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3ZRKL6Z1FBCK7RYNTQ405PEXCGXSGE,3XLRCUUVLYE30F5QHM3GVHR5VH0U40,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 22:27:35 PDT 2019,80,BatchId:3814573;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 21:27:35 PST 2019,,,3T3IWE1XGAXEL02ABOJ4XS9BAD3TQ9,A30YUELTPFSF0T,Rejected,Thu Nov 21 19:10:13 PST 2019,Thu Nov 21 19:28:44 PST 2019,Sat Dec 21 19:28:44 PST 2019,,Mon Nov 25 04:51:47 PST 2019,"We asked you to provide as complete a description as you can, regarding whatever factors may have influenced your decisions in our task.  Your answer to this was, ""complete a description as you can.""  In your feedback to us, you said you decided ""not to type any description."" Your answer may have been submitted in error, but we nonetheless are unable, based on your answer, to extract anything meaningful about the question we asked, so we're forced to disregard your answer.",1111,0% (0/1),0% (0/1),0% (0/0),36,complete a description as you can,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Before gender selection,  you really ask me to describe or need to type only sentence you mentioned, I decided not to type any description. Also you are giving backup link, it is awesome.",FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3ZRKL6Z1FBCK7RYNTQ405PEXCGXSGE,3XLRCUUVLYE30F5QHM3GVHR5VH0U40,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 22:27:35 PDT 2019,80,BatchId:3814573;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 21:27:35 PST 2019,,,3VZLGYJEYPKUG9CL3U3EDO6LRIGZX7,ADYNBOYRPQDEE,Rejected,Tue Nov 19 10:59:01 PST 2019,Tue Nov 19 11:04:54 PST 2019,Thu Dec 19 11:04:54 PST 2019,,Tue Nov 26 12:09:08 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",353,0% (0/1),0% (0/1),0% (0/0),39,i chose the picture with the most complexity shown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no feedback,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
3ZRKL6Z1FBCK7RYNTQ405PEXCGXSGE,3XLRCUUVLYE30F5QHM3GVHR5VH0U40,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Fri Oct 25 22:27:35 PDT 2019,80,BatchId:3814573;OriginalHitTemplateId:928390828;,1800,2592000,Sun Nov 24 21:27:35 PST 2019,,,3YHH42UU5FP2EUP6LHNYWV8CXZO0LK,A1DVKS3R9SLQ1H,Rejected,Fri Oct 25 23:02:14 PDT 2019,Fri Oct 25 23:25:52 PDT 2019,Sun Nov 24 22:25:52 PST 2019,,Fri Nov 01 20:33:21 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, in which you said ""TWO IMAGES ARE LOOK MORE DIFFERENT"", because we are not asking for how different the pictures are. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1418,50% (1/2),0% (0/0),0% (0/0),29,TWO IMAGES ARE LOOK MORE DIFFERENT.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,GOOD SURVEY,TRUE,FALSE,NONE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NONE,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,324G5B4FB7I3Z904HNMODQQBD0870O,A1DI0MT3RDQTW8,Rejected,Wed Dec 11 16:59:52 PST 2019,Wed Dec 11 17:16:28 PST 2019,Fri Jan 10 17:16:28 PST 2020,,Sun Dec 15 11:00:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",996,0% (0/1),0% (0/1),0% (0/1),30,ITS EASY,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,good experiment,FALSE,TRUE,none,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,none,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,34X6J5FLPX8K7X65ZU50VMM2H0JJQK,AUI6NMF6FJLUL,Rejected,Wed Dec 11 17:16:45 PST 2019,Wed Dec 11 17:26:34 PST 2019,Fri Jan 10 17:26:34 PST 2020,,Sun Dec 15 11:00:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",589,0% (0/1),0% (0/1),0% (0/1),30,right answers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,nice,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,39LOEL67OWF3GF4KAFWDTOKDRXD38J,A1RL5606AOCJYR,Rejected,Wed Dec 11 17:19:49 PST 2019,Wed Dec 11 17:28:18 PST 2019,Fri Jan 10 17:28:18 PST 2020,,Sun Dec 15 11:02:07 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",509,50% (1/2),50% (1/2),50% (1/2),29,"can take action to improve most of these. ... What I found really interesting were the various things that affect our . And still no one checked the box. ... up simply choosing anything, just to get the process over and done with.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Start early. Good design isn't art, it's a solution that effectively and efficiently solves a business problem. ...",TRUE,FALSE,NONE,GOOD,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,3EFVCAY5L7JE1T69D0O09V12NUX8JY,A21P70QPUC8RDI,Rejected,Wed Dec 11 17:46:32 PST 2019,Wed Dec 11 18:01:52 PST 2019,Fri Jan 10 18:01:52 PST 2020,,Sun Dec 15 11:04:09 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",920,0% (0/1),0% (0/1),0% (0/1),29,"can take action to improve most of these. ... What I found really interesting were the various things that affect our .. And still no one checked the box. ... up simply choosing anything, just to get the process over and done with.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Frame your feedback. ...Be clear and concise.",FALSE,TRUE,NONE,good,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,3H7XDTSHKG1F0SCQ3XJ3QYC8D9JWGX,ARGR4AJESGHHP,Rejected,Wed Dec 11 17:16:56 PST 2019,Wed Dec 11 17:35:22 PST 2019,Fri Jan 10 17:35:22 PST 2020,,Sun Dec 15 11:00:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",1106,0% (0/1),0% (0/1),0% (0/1),36,yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,noe,,
3ROUCZ908I3T1CNSAS0ZQTDZ94EOOG,3XA69K8C50XZ0KXCP4ZFF75Z4DJ1WB,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Wed Dec 11 16:45:12 PST 2019,50,BatchId:3866732;OriginalHitTemplateId:928390828;,1800,2592000,Fri Jan 10 16:45:12 PST 2020,,,3MH9DQ7570M28ONL8X428ARBST3UGR,AU6E25191M6SL,Rejected,Wed Dec 11 17:06:53 PST 2019,Wed Dec 11 17:11:18 PST 2019,Fri Jan 10 17:11:18 PST 2020,,Sun Dec 15 11:00:39 PST 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""easy to understand"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",265,0% (0/1),0% (0/1),0% (0/1),28,yes definately my choosing the best answers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,i think excellant for this survey.,FALSE,TRUE,none,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,none,,
