HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.criteria,Answer.education.CollegeGrad,Answer.education.GradSchool,Answer.education.HS,Answer.education.Other school,Answer.education.SomeCollege,Answer.education.SomeGrad,Answer.feedbackForStudy,Answer.gender.female,Answer.gender.male,Answer.limb impairment,Answer.other vision condition,Answer.prevExp.1,Answer.prevExp.2,Answer.prevExp.3,Answer.prevExp.4,Answer.studyLength.1,Answer.studyLength.2,Answer.vision.far-sighted,Answer.vision.near-sighted,Answer.vision.normal,Answer.vision.other vision,Answer.visual impairment,Approve,Reject
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,25,4,0,11,2,0,27,53,0,0,44,20,16,0,21,59,0,2,77,1,,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,30LSNF239Y57K3KEF1UZN39ZEFLI2O,A3GNCNYVIN64OO,Rejected,Tue Oct 29 16:10:15 PDT 2019,Tue Oct 29 16:15:52 PDT 2019,Thu Nov 28 15:15:52 PST 2019,,Fri Nov 01 19:33:26 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",337,0% (0/1),0% (0/1),0% (0/1),27,A some of pictures are very complexity,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,interesting,FALSE,TRUE,none,nothing,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,30ZX6P7VFC53FE4KXJFZZ4OZRUD2JN,A39NFW2FOEG898,Rejected,Tue Oct 29 16:28:40 PDT 2019,Tue Oct 29 16:39:12 PDT 2019,Thu Nov 28 15:39:12 PST 2019,,Fri Nov 01 19:36:11 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",632,0% (0/1),0% (0/1),0% (0/1),32,MOST OF IMAGES ARE MORE COMPLEXITY,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,nothing,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3300DTYQT6RCWHKDLTU9Y69A2SKEQH,A2R4A8488OMMDO,Rejected,Tue Oct 29 15:45:19 PDT 2019,Tue Oct 29 16:00:23 PDT 2019,Thu Nov 28 15:00:23 PST 2019,,Fri Nov 01 19:38:42 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, in which you said ""I liked it more because it was of better quality"", because we are not asking for how much you like the pictures. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",904,50% (1/2),50% (1/2),50% (1/2),33,I liked it more because it was of better quality,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,is good,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,37KGEN7NJ70VTW8OUUVVSDI4B2SPPC,A1H9FPAUTJT0XI,Rejected,Tue Oct 29 15:27:24 PDT 2019,Tue Oct 29 15:31:04 PDT 2019,Thu Nov 28 14:31:04 PST 2019,,Fri Nov 01 19:40:50 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, in which you said ""right"", because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",220,0% (0/1),0% (0/1),0% (0/1),24,right,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no,TRUE,FALSE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3DIP6YHAPG26QDKHZZD9CFOA8M38E5,AUTUFLY12U5G4,Rejected,Tue Oct 29 16:29:02 PDT 2019,Tue Oct 29 16:43:02 PDT 2019,Thu Nov 28 15:43:02 PST 2019,,Fri Nov 01 19:51:09 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",840,0% (0/2),0% (0/2),0% (0/1),26,MOST OF IMAGES ARE MORE COMPLEXITY,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,none,NOTHING,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3GGAI1SQEZ86E427X9HXR9P27FKCM9,AF3K80U0YQJMZ,Rejected,Tue Oct 29 16:21:49 PDT 2019,Tue Oct 29 16:30:28 PDT 2019,Thu Nov 28 15:30:28 PST 2019,,Fri Nov 01 19:52:15 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",519,0% (0/1),0% (0/1),0% (0/1),28,MOST OF IMAGES ARE MORE COMPLEXITY,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,none,NOTHING,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3IX2EGZR7FTKJYL5C9U00CW73LARJ6,A1W47WXDPB7K13,Rejected,Tue Oct 29 15:27:17 PDT 2019,Tue Oct 29 15:33:59 PDT 2019,Thu Nov 28 14:33:59 PST 2019,,Fri Nov 01 19:53:14 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept answers like ""none"" ""N/A"" ""good"" ""images are different"" ""I like this work"" etc. (We are looking for answers like 'I check for organization of the object and density of colors'.) Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",402,0% (0/2),0% (0/2),0% (0/1),29,GOOD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,TRUE,FALSE,NONE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3MRNMEIQW9GWDEQ0XTBTB2SVS9OLDW,AMD5AS2ZWVTTK,Rejected,Tue Oct 29 15:28:36 PDT 2019,Tue Oct 29 15:37:49 PDT 2019,Thu Nov 28 14:37:49 PST 2019,,Fri Nov 01 20:13:29 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",553,0% (0/1),0% (0/1),0% (0/1),26,The picture in the two image in the very different,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,This survey is very nice,TRUE,FALSE,none,very possible normal work,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3O7L7BFSHIZZFJWU8LP0P4IOBHVEI4,A10RINTD0CLW1Y,Rejected,Tue Oct 29 15:27:01 PDT 2019,Tue Oct 29 15:39:00 PDT 2019,Thu Nov 28 14:39:00 PST 2019,,Fri Nov 01 20:07:46 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answer, because this is not what we asked for. Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",719,67% (2/3),67% (2/3),0% (0/1),30,FIRST PICTURE WAS MORE COMPLEX.SOME VARIOUS FACTORS INFLUENCED ME.THE SPECIFIC FACTOR OF I WILL CHOOSE ONE PICTURE AS BEING MORE COMPLEX TO OTHER PICTURE BECAUSE I HAVE A NORMAL VISION.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GOOD,FALSE,TRUE,none,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
3BKZLF991288G24AVS11HP60ZWZQYY,3TKN0IPJXKHDO4Z5BKA8R0PA06812D,Putting photos in order,Choose which of the two photos is more complex,"image, complexity, ranking",$0.50,Tue Oct 29 15:24:34 PDT 2019,80,BatchId:3817931;OriginalHitTemplateId:928390828;,1800,2592000,Thu Nov 28 14:24:34 PST 2019,,,3P59JYT76PUXTH0P9DT31AB8PWU2TI,A16LTPBK99MZHO,Rejected,Tue Oct 29 16:16:55 PDT 2019,Tue Oct 29 16:19:13 PDT 2019,Thu Nov 28 15:19:13 PST 2019,,Fri Nov 01 20:10:38 PDT 2019,"Thank you very much for your engagement in our image study!  In our instructions, we asked explicitly for how you judge the complexity between two pictures. Unfortunately, we are unable to accept your answers, because we are not asking for WHAT you saw or did in the comparison task (we asked HOW you did it). Therefore we are unable to accept or use your results in our study. Nonetheless, we appreciate your interest and participation.",138,0% (0/2),0% (0/2),0% (0/1),28,Most of the images are complexity,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,FALSE,TRUE,nonr,nothing,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,none,,
